IncidentKey,IncidentId,CreatedAtUTC,AcknowledgedAtUTC,TriagedAtUTC,ContainedAtUTC,ResolvedAtUTC,ClosedAtUTC,CreatedDateKey,CreatedTimeKey,SourceProductKey,AssetKey,DetectionRuleKey,SeverityKey,StatusKey,AnalystKey,ClassificationKey,SLAKey,AlertKey,IncidentCount,RiskScore,AcknowledgementMinutes,TriageMinutes,ContainmentMinutes,ResolutionMinutes,RecoveryMinutes,IsEscalated,IsReopened,IsFalsePositive,SLAOverallMet,DataClassification
11,INC-00000011,2025-05-20T21:48:43Z,2025-05-20T22:07:43Z,2025-05-20T22:20:43Z,2025-05-20T23:50:43Z,2025-05-21T08:43:43Z,2025-05-21T13:00:43Z,20250520,2145,3,92,27,3,5,17,3,3,11173,1,82.8,19.0,32.0,122.0,655.0,257.0,True,False,True,True,SYNTHETIC_DEMO_DATA
12,INC-00000012,2025-12-18T10:07:32Z,2025-12-18T10:48:32Z,2025-12-18T11:13:32Z,2025-12-18T11:50:32Z,2025-12-18T18:36:32Z,2025-12-19T05:39:32Z,20251218,1005,1,137,36,1,5,8,4,1,9332,1,40.9,41.0,66.0,103.0,509.0,663.0,False,False,False,True,SYNTHETIC_DEMO_DATA
13,INC-00000013,2026-07-16T10:30:53Z,2026-07-16T11:04:53Z,2026-07-16T11:35:53Z,2026-07-16T13:40:53Z,2026-07-16T14:44:53Z,2026-07-16T16:27:53Z,20260716,1030,7,97,9,2,5,2,1,2,5523,1,50.9,34.0,65.0,190.0,254.0,103.0,False,False,False,True,SYNTHETIC_DEMO_DATA
14,INC-00000014,2025-06-24T03:46:14Z,2025-06-24T04:09:14Z,2025-06-24T04:53:14Z,2025-06-24T05:14:14Z,2025-06-24T08:05:14Z,2025-06-24T17:56:14Z,20250624,345,7,5,13,1,5,12,1,1,11704,1,51.0,23.0,67.0,88.0,259.0,591.0,False,False,False,True,SYNTHETIC_DEMO_DATA
15,INC-00000015,2026-05-02T09:40:19Z,2026-05-02T09:58:19Z,2026-05-02T10:28:19Z,2026-05-02T11:25:19Z,2026-05-02T17:07:19Z,2026-05-02T21:51:19Z,20260502,940,6,138,7,3,5,7,3,3,7937,1,72.1,18.0,48.0,105.0,447.0,284.0,False,False,True,True,SYNTHETIC_DEMO_DATA
16,INC-00000016,2025-04-04T00:30:27Z,2025-04-04T00:48:27Z,2025-04-04T01:06:27Z,2025-04-04T02:41:27Z,2025-04-04T05:58:27Z,2025-04-04T14:58:27Z,20250404,30,2,2,5,4,5,1,1,4,12448,1,90.8,18.0,36.0,131.0,328.0,540.0,True,False,False,True,SYNTHETIC_DEMO_DATA
17,INC-00000017,2025-09-03T11:19:46Z,2025-09-03T12:02:46Z,2025-09-03T12:29:46Z,2025-09-03T16:11:46Z,2025-09-04T06:22:46Z,2025-09-04T08:23:46Z,20250903,1115,4,168,4,2,5,10,1,2,2493,1,55.2,43.0,70.0,292.0,1143.0,121.0,False,False,False,True,SYNTHETIC_DEMO_DATA
18,INC-00000018,2026-02-04T12:28:39Z,2026-02-04T12:59:39Z,2026-02-04T13:53:39Z,2026-02-04T17:53:39Z,2026-02-04T20:16:39Z,2026-02-05T05:52:39Z,20260204,1225,5,39,42,2,5,3,4,2,329,1,57.0,31.0,85.0,325.0,468.0,576.0,False,False,False,True,SYNTHETIC_DEMO_DATA
19,INC-00000019,2025-02-07T08:48:37Z,2025-02-07T08:53:37Z,2025-02-07T09:13:37Z,2025-02-07T13:54:37Z,2025-02-07T20:22:37Z,2025-02-08T03:32:37Z,20250207,845,3,132,18,1,5,13,2,1,11011,1,43.9,5.0,25.0,306.0,694.0,430.0,False,False,True,True,SYNTHETIC_DEMO_DATA
20,INC-00000020,2025-09-27T12:09:39Z,2025-09-27T12:17:39Z,2025-09-27T12:37:39Z,2025-09-27T14:47:39Z,2025-09-27T21:16:39Z,2025-09-28T04:39:39Z,20250927,1205,7,140,40,1,5,6,4,1,2374,1,52.2,8.0,28.0,158.0,547.0,443.0,False,False,False,True,SYNTHETIC_DEMO_DATA
21,INC-00000021,2025-05-11T21:03:13Z,2025-05-11T21:15:13Z,2025-05-11T22:09:13Z,2025-05-11T22:56:13Z,2025-05-12T01:33:13Z,2025-05-12T03:41:13Z,20250511,2100,6,48,35,2,5,18,4,2,6182,1,51.8,12.0,66.0,113.0,270.0,128.0,False,False,False,True,SYNTHETIC_DEMO_DATA
22,INC-00000022,2026-03-02T12:54:59Z,2026-03-02T13:47:59Z,2026-03-02T14:05:59Z,2026-03-02T14:18:59Z,2026-03-02T16:37:59Z,2026-03-03T02:32:59Z,20260302,1250,6,222,11,2,5,11,1,2,15464,1,68.3,53.0,71.0,84.0,223.0,595.0,True,False,False,True,SYNTHETIC_DEMO_DATA
23,INC-00000023,2025-03-27T01:58:27Z,2025-03-27T02:17:27Z,2025-03-27T02:29:27Z,2025-03-27T03:42:27Z,2025-03-27T06:45:27Z,2025-03-27T09:15:27Z,20250327,155,1,12,29,2,5,4,1,2,6921,1,57.6,19.0,31.0,104.0,287.0,150.0,False,False,False,True,SYNTHETIC_DEMO_DATA
24,INC-00000024,2025-11-12T12:05:26Z,2025-11-12T12:55:26Z,2025-11-12T13:01:26Z,2025-11-12T13:40:26Z,2025-11-12T17:21:26Z,2025-11-12T20:13:26Z,20251112,1205,6,125,21,1,5,14,1,1,16207,1,30.1,50.0,56.0,95.0,316.0,172.0,False,False,False,True,SYNTHETIC_DEMO_DATA
25,INC-00000025,2026-05-22T09:54:35Z,2026-05-22T10:03:35Z,2026-05-22T10:29:35Z,2026-05-22T11:40:35Z,2026-05-22T15:54:35Z,2026-05-22T20:43:35Z,20260522,950,7,66,39,5,5,11,3,5,14213,1,100,9.0,35.0,106.0,360.0,289.0,True,False,True,False,SYNTHETIC_DEMO_DATA
26,INC-00000026,2025-07-30T05:02:26Z,2025-07-30T05:25:26Z,2025-07-30T05:50:26Z,2025-07-30T05:58:26Z,2025-07-31T07:23:26Z,2025-07-31T19:23:26Z,20250730,500,3,109,26,2,5,1,1,2,2168,1,63.4,23.0,48.0,56.0,1581.0,720.0,False,False,False,True,SYNTHETIC_DEMO_DATA
27,INC-00000027,2025-04-29T08:00:07Z,2025-04-29T08:18:07Z,2025-04-29T08:35:07Z,2025-04-29T09:03:07Z,,,20250429,800,5,39,17,3,3,13,0,3,259,1,67.2,18.0,35.0,63.0,,,False,False,False,False,SYNTHETIC_DEMO_DATA
28,INC-00000028,2025-08-10T19:17:52Z,2025-08-10T22:17:52Z,2025-08-10T22:31:52Z,2025-08-10T23:14:52Z,2025-08-11T00:49:52Z,2025-08-11T05:39:52Z,20250810,1915,5,51,24,1,5,4,1,1,17951,1,44.5,180.0,194.0,237.0,332.0,290.0,False,False,False,True,SYNTHETIC_DEMO_DATA
29,INC-00000029,2025-04-10T08:15:58Z,2025-04-10T08:42:58Z,2025-04-10T09:02:58Z,2025-04-10T10:03:58Z,2025-04-10T12:54:58Z,2025-04-11T00:14:58Z,20250410,815,4,78,36,2,5,16,1,2,15359,1,59.3,27.0,47.0,108.0,279.0,680.0,False,False,False,True,SYNTHETIC_DEMO_DATA
30,INC-00000030,2025-03-24T17:56:45Z,2025-03-24T19:24:45Z,2025-03-24T19:46:45Z,2025-03-24T21:16:45Z,2025-03-24T22:28:45Z,2025-03-25T02:41:45Z,20250324,1755,1,169,6,4,5,11,1,4,4405,1,93.6,88.0,110.0,200.0,272.0,253.0,True,False,False,False,SYNTHETIC_DEMO_DATA
31,INC-00000031,2026-05-08T22:31:39Z,2026-05-08T22:54:39Z,2026-05-08T23:41:39Z,2026-05-09T01:08:39Z,2026-05-09T02:25:39Z,2026-05-09T13:34:39Z,20260508,2230,3,174,41,2,5,2,3,2,5940,1,56.0,23.0,70.0,157.0,234.0,669.0,False,False,True,True,SYNTHETIC_DEMO_DATA
32,INC-00000032,2025-09-29T18:21:35Z,2025-09-29T19:32:35Z,2025-09-29T19:53:35Z,2025-09-29T22:13:35Z,2025-09-30T01:40:35Z,,20250929,1820,3,94,6,1,4,12,2,1,16664,1,28.0,71.0,92.0,232.0,439.0,,False,False,True,True,SYNTHETIC_DEMO_DATA
33,INC-00000033,2026-04-20T14:47:32Z,2026-04-20T15:08:32Z,2026-04-20T15:18:32Z,2026-04-20T16:45:32Z,2026-04-20T21:02:32Z,2026-04-21T06:26:32Z,20260420,1445,6,204,26,1,5,5,3,1,610,1,55.5,21.0,31.0,118.0,375.0,564.0,True,False,True,True,SYNTHETIC_DEMO_DATA
34,INC-00000034,2025-09-23T19:44:53Z,2025-09-23T20:07:53Z,2025-09-23T21:02:53Z,,,,20250923,1940,3,160,15,2,2,17,0,2,5836,1,56.9,23.0,78.0,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
35,INC-00000035,2025-11-03T12:12:17Z,2025-11-03T12:40:17Z,2025-11-03T13:28:17Z,2025-11-03T14:36:17Z,2025-11-03T16:15:17Z,2025-11-03T16:54:17Z,20251103,1210,1,169,24,2,5,10,3,2,14224,1,51.5,28.0,76.0,144.0,243.0,39.0,False,False,True,True,SYNTHETIC_DEMO_DATA
36,INC-00000036,2025-06-03T01:44:08Z,2025-06-03T01:57:08Z,2025-06-03T02:24:08Z,2025-06-03T05:56:08Z,2025-06-03T08:39:08Z,2025-06-03T11:21:08Z,20250603,140,7,58,30,2,5,3,1,2,11304,1,45.5,13.0,40.0,252.0,415.0,162.0,False,False,False,True,SYNTHETIC_DEMO_DATA
37,INC-00000037,2025-02-13T00:55:14Z,2025-02-13T01:04:14Z,2025-02-13T01:20:14Z,2025-02-13T02:16:14Z,2025-02-13T05:54:14Z,2025-02-13T10:43:14Z,20250213,55,4,231,4,2,5,14,1,2,14155,1,62.1,9.0,25.0,81.0,299.0,289.0,False,False,False,True,SYNTHETIC_DEMO_DATA
38,INC-00000038,2025-11-30T23:24:35Z,2025-12-01T00:27:35Z,2025-12-01T00:38:35Z,2025-12-01T03:52:35Z,2025-12-01T05:42:35Z,2025-12-01T07:36:35Z,20251130,2320,6,91,3,3,5,8,1,3,1354,1,72.1,63.0,74.0,268.0,378.0,114.0,False,False,False,False,SYNTHETIC_DEMO_DATA
39,INC-00000039,2025-09-28T10:20:27Z,2025-09-28T10:28:27Z,2025-09-28T10:41:27Z,2025-09-28T12:00:27Z,2025-09-28T14:06:27Z,2025-09-28T20:05:27Z,20250928,1020,1,78,10,2,5,18,1,2,9455,1,55.8,8.0,21.0,100.0,226.0,359.0,False,False,False,True,SYNTHETIC_DEMO_DATA
40,INC-00000040,2026-04-28T10:10:21Z,2026-04-28T10:13:21Z,2026-04-28T10:31:21Z,2026-04-28T14:00:21Z,2026-04-28T20:09:21Z,2026-04-28T21:46:21Z,20260428,1010,6,80,29,2,5,11,1,2,9227,1,43.9,3.0,21.0,230.0,599.0,97.0,False,False,False,True,SYNTHETIC_DEMO_DATA
41,INC-00000041,2025-04-08T08:34:27Z,2025-04-08T09:27:27Z,2025-04-08T09:35:27Z,2025-04-08T11:39:27Z,2025-04-08T18:14:27Z,2025-04-09T05:25:27Z,20250408,830,2,141,10,1,5,3,3,1,5770,1,40.7,53.0,61.0,185.0,580.0,671.0,False,False,True,True,SYNTHETIC_DEMO_DATA
42,INC-00000042,2026-03-01T11:50:27Z,2026-03-01T12:33:27Z,2026-03-01T13:02:27Z,2026-03-01T14:25:27Z,2026-03-01T15:07:27Z,,20260301,1150,6,192,33,2,4,15,1,2,1492,1,54.0,43.0,72.0,155.0,197.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
43,INC-00000043,2025-06-06T13:06:11Z,2025-06-06T13:44:11Z,2025-06-06T14:10:11Z,2025-06-06T18:02:11Z,2025-06-06T19:03:11Z,2025-06-07T00:23:11Z,20250606,1305,6,125,6,3,5,9,1,3,3972,1,61.2,38.0,64.0,296.0,357.0,320.0,False,False,False,True,SYNTHETIC_DEMO_DATA
44,INC-00000044,2025-11-15T16:18:04Z,2025-11-15T16:42:04Z,2025-11-15T16:54:04Z,2025-11-15T17:31:04Z,2025-11-15T18:39:04Z,2025-11-15T21:29:04Z,20251115,1615,7,67,37,1,5,18,1,1,11532,1,46.0,24.0,36.0,73.0,141.0,170.0,True,False,False,True,SYNTHETIC_DEMO_DATA
45,INC-00000045,2025-03-09T17:09:21Z,2025-03-09T17:44:21Z,2025-03-09T18:01:21Z,2025-03-09T18:42:21Z,2025-03-09T19:48:21Z,2025-03-10T02:49:21Z,20250309,1705,1,117,36,5,5,15,4,5,4768,1,96.6,35.0,52.0,93.0,159.0,421.0,True,False,False,False,SYNTHETIC_DEMO_DATA
46,INC-00000046,2026-02-16T15:12:44Z,2026-02-16T15:27:44Z,2026-02-16T15:50:44Z,2026-02-16T20:49:44Z,2026-02-16T22:20:44Z,2026-02-17T03:34:44Z,20260216,1510,5,117,36,2,5,5,1,2,2430,1,40.0,15.0,38.0,337.0,428.0,314.0,False,False,False,True,SYNTHETIC_DEMO_DATA
47,INC-00000047,2025-07-21T13:07:48Z,2025-07-21T13:22:48Z,2025-07-21T13:32:48Z,2025-07-21T15:02:48Z,2025-07-21T15:41:48Z,2025-07-21T22:11:48Z,20250721,1305,2,28,17,2,5,16,1,2,11103,1,58.9,15.0,25.0,115.0,154.0,390.0,False,False,False,True,SYNTHETIC_DEMO_DATA
48,INC-00000048,2026-07-01T15:34:11Z,2026-07-01T16:09:11Z,2026-07-01T16:20:11Z,2026-07-01T16:51:11Z,2026-07-01T18:20:11Z,2026-07-02T02:45:11Z,20260701,1530,3,87,42,2,5,9,1,2,16944,1,57.2,35.0,46.0,77.0,166.0,505.0,False,False,False,True,SYNTHETIC_DEMO_DATA
49,INC-00000049,2025-07-17T14:46:28Z,2025-07-17T14:53:28Z,2025-07-17T15:08:28Z,2025-07-17T17:09:28Z,2025-07-17T22:26:28Z,2025-07-18T04:15:28Z,20250717,1445,4,147,34,2,5,2,1,2,12039,1,51.7,7.0,22.0,143.0,460.0,349.0,False,False,False,True,SYNTHETIC_DEMO_DATA
50,INC-00000050,2025-05-06T13:27:31Z,2025-05-06T13:36:31Z,2025-05-06T14:33:31Z,2025-05-06T16:42:31Z,2025-05-06T17:38:31Z,2025-05-07T03:33:31Z,20250506,1325,3,141,22,1,5,12,3,1,7439,1,39.6,9.0,66.0,195.0,251.0,595.0,False,False,True,True,SYNTHETIC_DEMO_DATA
51,INC-00000051,2026-02-18T00:12:24Z,2026-02-18T00:31:24Z,2026-02-18T01:05:24Z,2026-02-18T02:40:24Z,2026-02-18T17:51:24Z,,20260218,10,4,139,3,1,4,5,1,1,4218,1,31.3,19.0,53.0,148.0,1059.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
52,INC-00000052,2026-07-17T14:20:21Z,2026-07-17T14:29:21Z,2026-07-17T14:43:21Z,,,,20260717,1420,3,47,36,1,2,16,0,1,317,1,37.5,9.0,23.0,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
53,INC-00000053,2025-08-26T14:15:06Z,2025-08-26T14:24:06Z,2025-08-26T14:51:06Z,2025-08-26T16:34:06Z,2025-08-26T17:27:06Z,,20250826,1415,4,162,27,5,4,13,1,5,5470,1,96.5,9.0,36.0,139.0,192.0,,True,True,False,False,SYNTHETIC_DEMO_DATA
54,INC-00000054,2026-06-14T16:18:57Z,2026-06-14T16:21:57Z,2026-06-14T16:52:57Z,2026-06-14T17:17:57Z,2026-06-15T01:03:57Z,2026-06-15T12:20:57Z,20260614,1615,7,96,29,3,5,4,4,3,10340,1,74.2,3.0,34.0,59.0,525.0,677.0,False,False,False,True,SYNTHETIC_DEMO_DATA
55,INC-00000055,2026-07-20T14:47:02Z,2026-07-20T15:16:02Z,2026-07-20T15:37:02Z,2026-07-20T17:16:02Z,2026-07-20T20:46:02Z,2026-07-21T05:46:02Z,20260720,1445,1,240,10,1,5,13,1,1,10175,1,52.6,29.0,50.0,149.0,359.0,540.0,True,False,False,True,SYNTHETIC_DEMO_DATA
56,INC-00000056,2025-10-28T14:47:52Z,2025-10-28T15:47:52Z,2025-10-28T16:09:52Z,,,,20251028,1445,1,78,40,3,2,8,0,3,8481,1,78.7,60.0,82.0,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
57,INC-00000057,2025-09-17T04:53:52Z,2025-09-17T05:25:52Z,2025-09-17T06:55:52Z,2025-09-17T08:34:52Z,2025-09-17T16:28:52Z,2025-09-18T00:47:52Z,20250917,450,7,33,45,1,5,17,3,1,7978,1,41.1,32.0,122.0,221.0,695.0,499.0,False,False,True,True,SYNTHETIC_DEMO_DATA
58,INC-00000058,2026-03-05T22:04:41Z,2026-03-05T22:10:41Z,2026-03-05T23:04:41Z,2026-03-05T23:39:41Z,2026-03-06T01:49:41Z,2026-03-06T11:30:41Z,20260305,2200,6,202,35,2,5,11,3,2,13756,1,48.7,6.0,60.0,95.0,225.0,581.0,False,False,True,True,SYNTHETIC_DEMO_DATA
59,INC-00000059,2025-03-01T01:00:21Z,2025-03-01T01:28:21Z,2025-03-01T01:58:21Z,2025-03-01T03:23:21Z,2025-03-01T10:17:21Z,2025-03-01T21:56:21Z,20250301,100,2,147,15,2,5,4,1,2,6663,1,55.7,28.0,58.0,143.0,557.0,699.0,False,False,False,True,SYNTHETIC_DEMO_DATA
60,INC-00000060,2026-06-15T20:31:06Z,2026-06-15T20:56:06Z,2026-06-15T21:04:06Z,2026-06-16T04:04:06Z,2026-06-16T08:03:06Z,2026-06-16T11:09:06Z,20260615,2030,4,20,15,2,5,15,2,2,1715,1,50.6,25.0,33.0,453.0,692.0,186.0,False,False,True,True,SYNTHETIC_DEMO_DATA
61,INC-00000061,2025-02-05T06:44:13Z,2025-02-05T07:01:13Z,2025-02-05T07:16:13Z,2025-02-05T08:09:13Z,2025-02-05T10:45:13Z,2025-02-05T11:00:13Z,20250205,640,7,197,24,1,5,7,1,1,14104,1,34.9,17.0,32.0,85.0,241.0,15.0,False,False,False,True,SYNTHETIC_DEMO_DATA
62,INC-00000062,2025-03-12T11:28:59Z,2025-03-12T11:30:59Z,2025-03-12T12:00:59Z,2025-03-12T13:23:59Z,2025-03-12T14:30:59Z,2025-03-12T23:33:59Z,20250312,1125,6,85,30,3,5,2,3,3,16684,1,60.5,2.0,32.0,115.0,182.0,543.0,False,False,True,True,SYNTHETIC_DEMO_DATA
63,INC-00000063,2025-07-05T18:52:30Z,2025-07-05T19:07:30Z,2025-07-05T19:16:30Z,2025-07-05T19:46:30Z,2025-07-06T08:42:30Z,2025-07-06T14:53:30Z,20250705,1850,3,75,34,2,5,12,1,2,8945,1,48.5,15.0,24.0,54.0,830.0,371.0,False,False,False,True,SYNTHETIC_DEMO_DATA
64,INC-00000064,2026-03-30T14:10:27Z,2026-03-30T14:31:27Z,2026-03-30T14:44:27Z,2026-03-30T17:26:27Z,2026-03-30T21:39:27Z,,20260330,1410,3,183,44,1,4,4,1,1,8029,1,38.2,21.0,34.0,196.0,449.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
65,INC-00000065,2026-06-05T11:36:23Z,2026-06-05T11:41:23Z,2026-06-05T11:50:23Z,2026-06-05T13:27:23Z,2026-06-05T21:03:23Z,,20260605,1135,5,85,39,1,4,15,1,1,5689,1,32.8,5.0,14.0,111.0,567.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
66,INC-00000066,2026-05-11T17:24:07Z,2026-05-11T17:57:07Z,2026-05-11T18:24:07Z,2026-05-11T19:38:07Z,2026-05-12T00:26:07Z,,20260511,1720,1,226,35,2,4,9,1,2,4749,1,68.2,33.0,60.0,134.0,422.0,,True,False,False,True,SYNTHETIC_DEMO_DATA
67,INC-00000067,2025-06-10T10:47:15Z,2025-06-10T11:20:15Z,2025-06-10T12:01:15Z,2025-06-10T12:30:15Z,2025-06-10T15:05:15Z,2025-06-10T19:35:15Z,20250610,1045,5,100,31,5,5,5,4,5,2532,1,100,33.0,74.0,103.0,258.0,270.0,True,False,False,False,SYNTHETIC_DEMO_DATA
68,INC-00000068,2026-07-24T09:07:39Z,2026-07-24T09:45:39Z,2026-07-24T09:49:39Z,2026-07-24T11:08:39Z,,,20260724,905,3,73,12,1,3,12,0,1,17866,1,47.7,38.0,42.0,121.0,,,False,False,False,False,SYNTHETIC_DEMO_DATA
69,INC-00000069,2025-09-01T15:38:08Z,2025-09-01T16:06:08Z,2025-09-01T16:49:08Z,2025-09-01T18:15:08Z,2025-09-01T19:39:08Z,2025-09-01T20:43:08Z,20250901,1535,6,194,5,2,5,6,1,2,2855,1,69.7,28.0,71.0,157.0,241.0,64.0,False,False,False,True,SYNTHETIC_DEMO_DATA
70,INC-00000070,2025-08-21T17:44:54Z,2025-08-21T17:55:54Z,2025-08-21T18:05:54Z,2025-08-21T20:29:54Z,2025-08-22T09:34:54Z,2025-08-22T12:13:54Z,20250821,1740,2,123,26,2,5,17,1,2,245,1,59.6,11.0,21.0,165.0,950.0,159.0,False,False,False,True,SYNTHETIC_DEMO_DATA
71,INC-00000071,2026-01-24T18:38:00Z,2026-01-24T19:08:00Z,2026-01-24T19:21:00Z,2026-01-24T19:55:00Z,2026-01-24T22:44:00Z,2026-01-25T06:57:00Z,20260124,1835,3,232,12,2,5,10,3,2,14265,1,57.2,30.0,43.0,77.0,246.0,493.0,False,False,True,True,SYNTHETIC_DEMO_DATA
72,INC-00000072,2025-12-04T07:08:49Z,2025-12-04T07:23:49Z,2025-12-04T07:47:49Z,2025-12-04T11:49:49Z,2025-12-04T14:03:49Z,,20251204,705,3,202,40,1,4,2,1,1,16623,1,29.8,15.0,39.0,281.0,415.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
73,INC-00000073,2025-02-21T18:45:12Z,2025-02-21T19:05:12Z,2025-02-21T19:39:12Z,2025-02-21T21:34:12Z,2025-02-21T23:58:12Z,2025-02-22T01:24:12Z,20250221,1845,1,185,36,1,5,13,1,1,4759,1,47.1,20.0,54.0,169.0,313.0,86.0,False,False,False,True,SYNTHETIC_DEMO_DATA
74,INC-00000074,2026-06-18T18:42:25Z,2026-06-18T19:33:25Z,2026-06-18T19:41:25Z,2026-06-18T20:14:25Z,2026-06-18T20:43:25Z,,20260618,1840,4,3,34,1,4,6,4,1,16667,1,33.3,51.0,59.0,92.0,121.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
75,INC-00000075,2026-03-16T09:06:46Z,2026-03-16T09:15:46Z,2026-03-16T09:25:46Z,2026-03-16T10:03:46Z,2026-03-16T11:50:46Z,2026-03-16T22:49:46Z,20260316,905,1,154,12,2,5,18,1,2,2873,1,62.1,9.0,19.0,57.0,164.0,659.0,False,False,False,True,SYNTHETIC_DEMO_DATA
76,INC-00000076,2025-07-25T11:04:24Z,2025-07-25T11:29:24Z,2025-07-25T11:46:24Z,2025-07-25T11:54:24Z,2025-07-25T13:20:24Z,2025-07-25T17:43:24Z,20250725,1100,1,218,18,5,5,14,1,5,10659,1,100,25.0,42.0,50.0,136.0,263.0,True,False,False,False,SYNTHETIC_DEMO_DATA
77,INC-00000077,2026-02-18T15:16:04Z,2026-02-18T15:53:04Z,2026-02-18T16:07:04Z,2026-02-18T18:37:04Z,2026-02-18T19:47:04Z,2026-02-19T05:33:04Z,20260218,1515,3,43,1,1,5,3,3,1,15175,1,46.5,37.0,51.0,201.0,271.0,586.0,True,False,True,True,SYNTHETIC_DEMO_DATA
78,INC-00000078,2025-12-15T03:04:18Z,2025-12-15T03:10:18Z,2025-12-15T04:18:18Z,2025-12-15T05:24:18Z,2025-12-15T06:41:18Z,2025-12-15T06:57:18Z,20251215,300,1,87,30,3,5,16,1,3,17684,1,77.6,6.0,74.0,140.0,217.0,16.0,False,False,False,True,SYNTHETIC_DEMO_DATA
79,INC-00000079,2025-05-08T15:53:23Z,2025-05-08T16:38:23Z,2025-05-08T17:07:23Z,2025-05-08T18:06:23Z,2025-05-08T23:42:23Z,2025-05-09T10:18:23Z,20250508,1550,2,56,36,4,5,10,1,4,4998,1,96.3,45.0,74.0,133.0,469.0,636.0,True,False,False,False,SYNTHETIC_DEMO_DATA
