IncidentTechniqueKey,IncidentKey,AttackTechniqueKey,IsPrimary
174,140,4,False
175,140,19,True
176,141,10,True
177,142,8,True
178,143,19,True
179,144,6,True
180,144,21,False
181,145,9,True
182,146,7,True
183,147,9,True
184,148,8,False
185,148,15,True
186,149,12,True
187,150,24,True
188,151,24,True
189,152,23,False
190,152,26,True
191,153,7,True
192,154,3,True
193,155,15,True
194,156,24,True
195,156,25,False
196,157,16,True
197,158,3,True
198,159,21,True
199,160,17,True
200,160,22,False
201,161,7,True
202,162,18,True
203,163,21,True
204,164,7,False
205,164,24,True
206,165,5,True
207,166,20,True
208,167,26,True
209,168,2,False
210,168,15,True
211,169,6,True
212,170,3,True
213,171,11,True
214,172,9,True
215,172,26,False
216,173,25,True
217,174,19,True
218,175,23,True
219,176,8,False
220,176,13,True
221,177,8,True
222,178,15,True
223,179,11,True
224,180,24,False
225,180,25,True
226,181,21,True
227,182,4,True
228,183,18,True
229,184,22,True
230,184,25,False
231,185,26,True
232,186,19,True
233,187,3,True
234,188,5,False
235,188,24,True
236,189,16,True
237,190,16,True
238,191,3,True
239,192,2,False
240,192,17,True
241,193,7,True
242,194,15,True
243,195,23,True
244,196,12,False
245,196,23,True
246,197,5,True
247,198,18,True
248,199,8,True
249,200,7,False
250,200,14,True
251,201,3,True
252,202,26,True
253,203,3,True
254,204,4,False
255,204,7,True
256,205,5,True
257,206,22,True
258,207,3,True
259,208,23,True
260,208,24,False
261,209,5,True
262,210,9,True
263,211,10,True
264,212,16,True
265,212,21,False
266,213,23,True
267,214,16,True
268,215,26,True
269,216,1,False
270,216,18,True
271,217,22,True
272,218,23,True
273,219,15,True
274,220,11,True
275,220,24,False
276,221,4,True
277,222,15,True
278,223,7,True
279,224,17,False
280,224,26,True
281,225,21,True
282,226,10,True
283,227,17,True
284,228,5,True
285,228,26,False
286,229,3,True
287,230,22,True
288,231,15,True
289,232,17,False
290,232,18,True
291,233,15,True
292,234,9,True
293,235,19,True
294,236,23,True
295,236,26,False
296,237,5,True
297,238,9,True
298,239,3,True
299,240,15,True
300,240,22,False
301,241,16,True
302,242,13,True
303,243,25,True
304,244,12,True
305,244,23,False
306,245,26,True
307,246,4,True
308,247,10,True
309,248,1,False
310,248,12,True
311,249,22,True
312,250,16,True
313,251,19,True
314,252,12,False
315,252,19,True
316,253,21,True
317,254,10,True
318,255,7,True
319,256,7,False
320,256,10,True
321,257,16,True
322,258,17,True
323,259,26,True
324,260,23,True
325,260,24,False
326,261,3,True
327,262,24,True
328,263,5,True
329,264,12,True
330,264,17,False
331,265,4,True
332,266,13,True
333,267,13,True
334,268,7,False
335,268,24,True
336,269,8,True
337,270,16,True
338,271,2,True
339,272,13,False
340,272,26,True
341,273,16,True
342,274,20,True
343,275,17,True
344,276,6,False
345,276,15,True
346,277,5,True
347,278,6,True
348,279,16,True
349,280,18,False
350,280,23,True
351,281,8,True
352,282,3,True
353,283,8,True
354,284,23,False
355,284,24,True
356,285,17,True
357,286,26,True
358,287,12,True
359,288,15,True
360,288,18,False
361,289,3,True
362,290,16,True
363,291,15,True
364,292,9,True
365,292,16,False
366,293,5,True
367,294,4,True
368,295,2,True
369,296,7,False
370,296,22,True
371,297,6,True
372,298,2,True
373,299,10,True
374,300,2,False
375,300,13,True
376,301,17,True
377,302,6,True
378,303,21,True
379,304,15,False
380,304,22,True
381,305,17,True
382,306,12,True
383,307,3,True
384,308,6,False
385,308,9,True
386,309,26,True
387,310,7,True
388,311,12,True
389,312,23,True
390,312,24,False
391,313,17,True
392,314,19,True
393,315,9,True
394,316,16,True
395,316,21,False
396,317,14,True
397,318,8,True
398,319,5,True
399,320,2,False
400,320,19,True
401,321,21,True
402,322,21,True
403,323,19,True
404,324,2,True
405,324,15,False
406,325,4,True
407,326,12,True
408,327,14,True
409,328,14,False
410,328,23,True
411,329,13,True
412,330,7,True
413,331,16,True
414,332,4,False
415,332,9,True
416,333,3,True
417,334,6,True
418,335,12,True
419,336,11,False
420,336,12,True
421,337,19,True
422,338,26,True
423,339,26,True
424,340,13,True
425,340,16,False
426,341,17,True
427,342,24,True
428,343,21,True
429,344,4,False
430,344,23,True
431,345,16,True
432,346,17,True
433,347,17,True
434,348,7,True
435,348,18,False
436,349,6,True
437,350,10,True
438,351,8,True
439,352,10,False
440,352,21,True
441,353,11,True
442,354,4,True
443,355,7,True
444,356,3,False
445,356,10,True
446,357,20,True
447,358,8,True
448,359,26,True
449,360,17,False
450,360,20,True
451,361,19,True
452,362,25,True
453,363,19,True
454,364,24,True
455,364,25,False
456,365,21,True
457,366,17,True
458,367,19,True
459,368,4,False
460,368,25,True
461,369,26,True
462,370,12,True
463,371,19,True
464,372,4,False
465,372,21,True
466,373,26,True
467,374,14,True
468,375,3,True
469,376,11,True
470,376,24,False
471,377,2,True
472,378,1,True
473,379,26,True
474,380,8,True
475,380,25,False
476,381,4,True
477,382,22,True
478,383,25,True
479,384,11,False
480,384,16,True
481,385,19,True
482,386,5,True
483,387,1,True
484,388,18,False
485,388,19,True
486,389,6,True
487,390,2,True
488,391,12,True
489,392,4,True
490,392,7,False
491,393,16,True
492,394,26,True
493,395,4,True
494,396,15,True
495,396,22,False
496,397,7,True
497,398,11,True
498,399,2,True
499,400,3,True
500,400,14,False
501,401,25,True
502,402,9,True
503,403,18,True
504,404,5,True
505,404,20,False
506,405,25,True
507,406,20,True
508,407,9,True
509,408,7,False
510,408,14,True
511,409,26,True
512,410,6,True
513,411,15,True
514,412,23,False
515,412,26,True
516,413,4,True
517,414,7,True
518,415,26,True
519,416,24,True
520,416,25,False
521,417,16,True
522,418,6,True
523,419,7,True
524,420,11,True
525,420,16,False
526,421,9,True
527,422,12,True
528,423,8,True
529,424,7,True
530,424,16,False
531,425,26,True
532,426,10,True
533,427,5,True
534,428,8,False
535,428,21,True
536,429,9,True
537,430,6,True
538,431,7,True
539,432,8,False
540,432,17,True
541,433,3,True
542,434,10,True
543,435,7,True
544,436,19,False
545,436,24,True
546,437,8,True
547,438,24,True
548,439,26,True
549,440,2,False
550,440,3,True
551,441,7,True
552,442,17,True
553,443,10,True
554,444,7,True
555,444,10,False
556,445,18,True
557,446,21,True
558,447,18,True
559,448,17,True
560,448,24,False
561,449,4,True
562,450,2,True
563,451,19,True
564,452,5,True
565,452,16,False
566,453,2,True
567,454,15,True
568,455,18,True
569,456,9,True
570,456,24,False
571,457,23,True
572,458,3,True
573,459,15,True
574,460,7,True
575,460,26,False
576,461,10,True
577,462,5,True
578,463,12,True
579,464,6,False
580,464,9,True
581,465,6,True
582,466,13,True
583,467,9,True
584,468,12,True
585,468,13,False
586,469,2,True
587,470,9,True
588,471,2,True
589,472,3,False
590,472,24,True
591,473,16,True
592,474,3,True
593,475,12,True
594,476,4,False
595,476,21,True
596,477,19,True
597,478,26,True
598,479,13,True
599,480,9,False
600,480,22,True
601,481,25,True
602,482,24,True
603,483,3,True
604,484,5,True
605,484,22,False
606,485,2,True
607,486,21,True
608,487,5,True
609,488,6,False
610,488,11,True
611,489,2,True
612,490,8,True
613,491,16,True
614,492,1,True
615,492,26,False
616,493,11,True
617,494,17,True
618,495,14,True
619,496,17,True
620,496,20,False
621,497,23,True
622,498,3,True
623,499,10,True
624,500,3,True
625,500,10,False
626,501,23,True
627,502,22,True
628,503,3,True
629,504,6,True
630,504,17,False
631,505,21,True
632,506,17,True
633,507,19,True
634,508,14,False
635,508,25,True
636,509,23,True
637,510,8,True
638,511,2,True
639,512,5,True
640,512,24,False
641,513,8,True
642,514,6,True
643,515,4,True
644,516,9,False
645,516,12,True
646,517,11,True
647,518,2,True
648,519,19,True
649,520,23,True
650,520,24,False
651,521,26,True
652,522,24,True
653,523,10,True
654,524,16,True
655,524,21,False
656,525,20,True
657,526,22,True
658,527,21,True
659,528,10,True
660,528,19,False
661,529,4,True
662,530,12,True
663,531,11,True
664,532,5,False
665,532,18,True
666,533,23,True
667,534,23,True
668,535,9,True
669,536,17,False
670,536,26,True
671,537,4,True
672,538,26,True
673,539,19,True
674,540,3,False
675,540,8,True
676,541,4,True
677,542,2,True
678,543,15,True
679,544,8,False
680,544,9,True
681,545,25,True
682,546,22,True
683,547,15,True
684,548,16,True
685,548,19,False
686,549,9,True
687,550,9,True
688,551,3,True
689,552,11,True
690,552,18,False
691,553,25,True
692,554,24,True
693,555,22,True
694,556,8,False
695,556,23,True
696,557,26,True
697,558,1,True
698,559,23,True
699,560,15,False
700,560,26,True
701,561,9,True
702,562,23,True
703,563,25,True
704,564,3,False
705,564,10,True
706,565,15,True
707,566,12,True
708,567,7,True
709,568,6,False
710,568,9,True
711,569,11,True
712,570,16,True
713,571,15,True
714,572,11,True
715,572,12,False
716,573,10,True
717,574,11,True
718,575,18,True
719,576,5,False
720,576,26,True
721,577,22,True
722,578,8,True
723,579,9,True
724,580,4,True
725,580,13,False
726,581,6,True
727,582,14,True
728,583,8,True
729,584,10,False
730,584,23,True
731,585,26,True
732,586,16,True
733,587,15,True
734,588,2,True
735,588,19,False
736,589,8,True
737,590,24,True
738,591,14,True
739,592,4,False
740,592,9,True
741,593,15,True
742,594,8,True
743,595,26,True
744,596,25,False
745,596,26,True
746,597,10,True
747,598,25,True
748,599,22,True
749,600,10,True
750,600,13,False
751,601,26,True
752,602,14,True
753,603,11,True
754,604,17,True
755,604,24,False
756,605,22,True
757,606,25,True
758,607,16,True
759,608,5,True
760,608,16,False
761,609,26,True
762,610,7,True
763,611,9,True
764,612,5,False
765,612,16,True
766,613,9,True
767,614,4,True
768,615,21,True
769,616,15,False
770,616,22,True
771,617,2,True
772,618,26,True
773,619,1,True
774,620,5,False
775,620,8,True
776,621,23,True
777,622,16,True
778,623,11,True
779,624,9,True
780,624,10,False
781,625,12,True
782,626,14,True
783,627,17,True
784,628,5,False
785,628,26,True
786,629,12,True
787,630,19,True
788,631,21,True
789,632,12,True
790,632,21,False
791,633,4,True
792,634,26,True
793,635,25,True
794,636,3,False
795,636,16,True
796,637,11,True
797,638,26,True
798,639,26,True
799,640,17,False
800,640,26,True
801,641,1,True
802,642,16,True
803,643,8,True
804,644,5,True
805,644,26,False
806,645,14,True
807,646,24,True
808,647,12,True
809,648,14,False
810,648,15,True
811,649,26,True
812,650,22,True
813,651,14,True
814,652,22,True
815,652,25,False
816,653,19,True
817,654,13,True
818,655,5,True
819,656,4,True
820,656,11,False
821,657,16,True
822,658,15,True
823,659,17,True
824,660,11,False
825,660,26,True
826,661,1,True
827,662,4,True
828,663,15,True
829,664,10,False
830,664,21,True
831,665,6,True
832,666,11,True
833,667,25,True
834,668,3,True
835,668,22,False
836,669,10,True
837,670,23,True
838,671,23,True
839,672,21,False
840,672,24,True
841,673,21,True
842,674,4,True
843,675,10,True
844,676,15,True
845,676,16,False
846,677,17,True
847,678,2,True
848,679,4,True
849,680,5,False
850,680,26,True
851,681,22,True
852,682,23,True
853,683,7,True
854,684,2,True
855,684,11,False
856,685,21,True
857,686,15,True
858,687,16,True
859,688,9,True
860,688,22,False
861,689,19,True
862,690,10,True
863,691,7,True
864,692,7,False
865,692,16,True
866,693,10,True
867,694,25,True
868,695,14,True
869,696,4,False
870,696,9,True
871,697,24,True
872,698,18,True
873,699,17,True
874,700,8,False
875,700,9,True
876,701,26,True
877,702,16,True
878,703,2,True
879,704,9,True
880,704,12,False
881,705,17,True
882,706,4,True
883,707,16,True
884,708,10,True
885,708,17,False
886,709,24,True
887,710,22,True
888,711,23,True
889,712,15,True
890,712,26,False
891,713,22,True
892,714,3,True
893,715,23,True
894,716,7,True
895,716,22,False
896,717,15,True
897,718,19,True
898,719,8,True
899,720,12,False
900,720,19,True
901,721,23,True
902,722,2,True
903,723,2,True
904,724,21,False
905,724,24,True
906,725,24,True
907,726,19,True
908,727,23,True
909,728,19,True
910,728,20,False
911,729,8,True
912,730,11,True
913,731,3,True
914,732,15,True
915,732,20,False
916,733,2,True
917,734,16,True
918,735,14,True
919,736,5,True
920,736,14,False
921,737,22,True
922,738,4,True
923,739,15,True
924,740,2,False
925,740,15,True
926,741,19,True
927,742,23,True
928,743,5,True
929,744,12,False
930,744,21,True
931,745,22,True
932,746,17,True
933,747,21,True
934,748,8,False
935,748,13,True
936,749,2,True
937,750,6,True
938,751,12,True
939,752,3,False
940,752,4,True
941,753,8,True
942,754,16,True
943,755,3,True
944,756,23,True
945,756,26,False
946,757,24,True
947,758,3,True
948,759,15,True
949,760,3,False
950,760,22,True
951,761,7,True
952,762,26,True
953,763,21,True
954,764,12,True
955,764,23,False
956,765,12,True
957,766,14,True
958,767,14,True
959,768,12,False
960,768,23,True
961,769,23,True
962,770,26,True
963,771,7,True
964,772,5,False
965,772,12,True
966,773,3,True
967,774,18,True
968,775,9,True
969,776,23,False
970,776,26,True
971,777,21,True
972,778,9,True
973,779,19,True
974,780,3,True
975,780,4,False
976,781,25,True
977,782,15,True
978,783,8,True
979,784,5,False
980,784,26,True
981,785,4,True
982,786,10,True
983,787,18,True
984,788,6,False
985,788,23,True
986,789,15,True
987,790,8,True
988,791,16,True
989,792,3,True
990,792,16,False
991,793,6,True
992,794,2,True
993,795,12,True
994,796,6,True
995,796,23,False
996,797,17,True
997,798,6,True
998,799,25,True
999,800,8,False
1000,800,13,True
1001,801,17,True
1002,802,8,True
1003,803,2,True
1004,804,23,False
1005,804,24,True
1006,805,10,True
1007,806,14,True
1008,807,16,True
1009,808,20,True
1010,808,23,False
1011,809,19,True
1012,810,5,True
1013,811,3,True
1014,812,4,True
1015,812,11,False
1016,813,8,True
1017,814,16,True
1018,815,14,True
1019,816,4,False
1020,816,19,True
1021,817,9,True
1022,818,2,True
1023,819,26,True
1024,820,4,True
1025,820,19,False
1026,821,13,True
1027,822,14,True
1028,823,8,True
1029,824,3,True
1030,824,22,False
1031,825,26,True
1032,826,19,True
1033,827,10,True
1034,828,3,False
1035,828,6,True
1036,829,18,True
1037,830,7,True
1038,831,5,True
1039,832,14,True
1040,832,15,False
1041,833,10,True
1042,834,13,True
1043,835,25,True
1044,836,16,True
1045,836,21,False
1046,837,6,True
1047,838,26,True
1048,839,22,True
1049,840,5,True
1050,840,14,False
1051,841,17,True
1052,842,20,True
1053,843,25,True
1054,844,12,False
1055,844,25,True
1056,845,7,True
1057,846,26,True
1058,847,7,True
1059,848,2,False
1060,848,11,True
1061,849,3,True
1062,850,19,True
1063,851,24,True
1064,852,8,False
1065,852,13,True
1066,853,9,True
1067,854,20,True
1068,855,22,True
1069,856,21,False
1070,856,22,True
1071,857,16,True
1072,858,7,True
1073,859,8,True
1074,860,3,True
1075,860,6,False
1076,861,2,True
1077,862,16,True
1078,863,22,True
1079,864,17,True
1080,864,24,False
1081,865,26,True
1082,866,14,True
1083,867,22,True
1084,868,3,False
1085,868,18,True
1086,869,20,True
1087,870,19,True
1088,871,3,True
1089,872,11,False
1090,872,22,True
1091,873,21,True
1092,874,13,True
1093,875,22,True
1094,876,9,False
1095,876,16,True
1096,877,23,True
1097,878,19,True
1098,879,18,True
1099,880,12,False
1100,880,15,True
1101,881,17,True
1102,882,16,True
1103,883,26,True
1104,884,3,True
1105,884,4,False
1106,885,24,True
1107,886,3,True
1108,887,6,True
1109,888,19,True
1110,888,24,False
1111,889,2,True
1112,890,16,True
1113,891,17,True
1114,892,6,False
1115,892,23,True
1116,893,26,True
1117,894,26,True
1118,895,2,True
1119,896,2,True
1120,896,15,False
1121,897,7,True
1122,898,6,True
1123,899,10,True
1124,900,17,False
1125,900,26,True
1126,901,16,True
1127,902,23,True
1128,903,16,True
1129,904,2,False
1130,904,7,True
1131,905,7,True
1132,906,5,True
1133,907,19,True
1134,908,1,True
1135,908,26,False
1136,909,2,True
1137,910,15,True
1138,911,21,True
1139,912,6,True
1140,912,9,False
1141,913,13,True
1142,914,14,True
1143,915,21,True
1144,916,1,True
1145,916,8,False
1146,917,24,True
1147,918,23,True
1148,919,26,True
1149,920,4,True
1150,920,15,False
1151,921,10,True
1152,922,16,True
1153,923,1,True
1154,924,3,False
1155,924,14,True
1156,925,23,True
1157,926,19,True
1158,927,7,True
1159,928,9,False
1160,928,16,True
1161,929,7,True
1162,930,19,True
1163,931,17,True
1164,932,15,False
1165,932,18,True
1166,933,15,True
1167,934,25,True
1168,935,24,True
1169,936,3,True
1170,936,4,False
1171,937,21,True
1172,938,10,True
1173,939,16,True
1174,940,19,True
1175,940,24,False
1176,941,21,True
1177,942,22,True
1178,943,3,True
1179,944,3,True
1180,944,12,False
1181,945,9,True
1182,946,19,True
1183,947,21,True
1184,948,4,False
1185,948,17,True
1186,949,17,True
1187,950,14,True
1188,951,4,True
1189,952,14,False
1190,952,23,True
1191,953,26,True
1192,954,17,True
1193,955,16,True
1194,956,17,False
1195,956,22,True
1196,957,21,True
1197,958,23,True
1198,959,3,True
1199,960,21,False
1200,960,22,True
1201,961,14,True
1202,962,4,True
1203,963,7,True
1204,964,9,True
1205,964,12,False
1206,965,6,True
1207,966,20,True
1208,967,23,True
1209,968,12,True
1210,968,19,False
1211,969,18,True
1212,970,15,True
1213,971,24,True
1214,972,8,False
1215,972,23,True
1216,973,16,True
1217,974,3,True
1218,975,22,True
1219,976,8,False
1220,976,19,True
1221,977,14,True
1222,978,12,True
1223,979,2,True
1224,980,16,False
1225,980,23,True
1226,981,5,True
1227,982,9,True
1228,983,14,True
1229,984,13,False
1230,984,16,True
1231,985,3,True
1232,986,12,True
1233,987,18,True
1234,988,15,True
1235,988,16,False
1236,989,24,True
1237,990,8,True
1238,991,10,True
1239,992,10,True
1240,992,15,False
1241,993,4,True
1242,994,26,True
1243,995,5,True
1244,996,15,True
1245,996,24,False
1246,997,12,True
1247,998,22,True
1248,999,21,True
1249,1000,5,True
1250,1000,18,False
1251,1001,19,True
1252,1002,3,True
1253,1003,9,True
1254,1004,2,True
1255,1004,19,False
1256,1005,17,True
1257,1006,26,True
1258,1007,11,True
1259,1008,8,False
1260,1008,13,True
1261,1009,4,True
1262,1010,21,True
1263,1011,9,True
1264,1012,16,False
1265,1012,17,True
1266,1013,7,True
1267,1014,3,True
1268,1015,12,True
1269,1016,22,True
1270,1016,25,False
1271,1017,26,True
1272,1018,3,True
1273,1019,24,True
1274,1020,10,True
1275,1020,17,False
1276,1021,2,True
1277,1022,2,True
1278,1023,4,True
1279,1024,13,True
1280,1024,24,False
1281,1025,9,True
1282,1026,1,True
1283,1027,3,True
1284,1028,1,False
1285,1028,12,True
1286,1029,25,True
1287,1030,4,True
1288,1031,7,True
1289,1032,3,True
1290,1032,22,False
1291,1033,11,True
1292,1034,9,True
1293,1035,10,True
1294,1036,23,False
1295,1036,26,True
1296,1037,22,True
1297,1038,12,True
1298,1039,17,True
1299,1040,7,True
1300,1040,8,False
1301,1041,26,True
1302,1042,7,True
1303,1043,6,True
1304,1044,5,False
1305,1044,26,True
1306,1045,6,True
1307,1046,1,True
1308,1047,9,True
1309,1048,9,False
1310,1048,26,True
1311,1049,3,True
1312,1050,15,True
1313,1051,11,True
1314,1052,8,False
1315,1052,21,True
1316,1053,5,True
1317,1054,9,True
1318,1055,6,True
1319,1056,15,False
1320,1056,24,True
1321,1057,7,True
1322,1058,5,True
1323,1059,26,True
1324,1060,21,False
1325,1060,26,True
1326,1061,13,True
1327,1062,21,True
1328,1063,4,True
1329,1064,7,False
1330,1064,8,True
1331,1065,1,True
1332,1066,15,True
1333,1067,10,True
1334,1068,22,True
1335,1068,25,False
1336,1069,15,True
1337,1070,17,True
1338,1071,23,True
1339,1072,2,True
1340,1072,9,False
1341,1073,7,True
1342,1074,23,True
1343,1075,26,True
1344,1076,4,False
1345,1076,19,True
1346,1077,13,True
1347,1078,7,True
1348,1079,20,True
1349,1080,7,True
1350,1080,22,False
1351,1081,21,True
1352,1082,24,True
1353,1083,7,True
1354,1084,5,True
1355,1084,24,False
1356,1085,2,True
1357,1086,4,True
1358,1087,19,True
1359,1088,2,True
1360,1088,25,False
1361,1089,3,True
1362,1090,23,True
1363,1091,23,True
1364,1092,16,True
1365,1092,17,False
1366,1093,26,True
1367,1094,3,True
1368,1095,14,True
1369,1096,4,True
1370,1096,9,False
1371,1097,17,True
1372,1098,12,True
1373,1099,5,True
1374,1100,6,False
1375,1100,23,True
1376,1101,12,True
1377,1102,26,True
1378,1103,26,True
1379,1104,4,True
1380,1104,17,False
1381,1105,3,True
1382,1106,9,True
1383,1107,16,True
1384,1108,3,False
1385,1108,12,True
1386,1109,22,True
1387,1110,1,True
1388,1111,2,True
1389,1112,4,True
1390,1112,25,False
1391,1113,8,True
1392,1114,10,True
1393,1115,16,True
1394,1116,6,False
1395,1116,7,True
1396,1117,24,True
1397,1118,12,True
1398,1119,9,True
1399,1120,10,True
1400,1120,13,False
1401,1121,14,True
1402,1122,16,True
1403,1123,26,True
1404,1124,14,True
1405,1124,21,False
1406,1125,2,True
1407,1126,6,True
1408,1127,2,True
1409,1128,11,False
1410,1128,26,True
1411,1129,21,True
1412,1130,7,True
1413,1131,23,True
1414,1132,10,True
1415,1132,25,False
1416,1133,12,True
1417,1134,7,True
1418,1135,6,True
1419,1136,5,True
1420,1136,24,False
1421,1137,26,True
1422,1138,25,True
1423,1139,3,True
1424,1140,20,False
1425,1140,23,True
1426,1141,19,True
1427,1142,18,True
1428,1143,13,True
1429,1144,5,True
1430,1144,6,False
1431,1145,3,True
1432,1146,13,True
1433,1147,4,True
1434,1148,6,True
1435,1148,11,False
1436,1149,19,True
1437,1150,11,True
1438,1151,16,True
1439,1152,5,True
1440,1152,14,False
1441,1153,21,True
1442,1154,4,True
1443,1155,26,True
1444,1156,9,True
1445,1156,22,False
1446,1157,7,True
1447,1158,10,True
1448,1159,16,True
1449,1160,15,False
1450,1160,24,True
1451,1161,26,True
1452,1162,24,True
1453,1163,6,True
1454,1164,3,True
1455,1164,24,False
1456,1165,22,True
1457,1166,14,True
1458,1167,26,True
1459,1168,8,False
1460,1168,9,True
1461,1169,6,True
1462,1170,11,True
1463,1171,26,True
1464,1172,5,True
1465,1172,8,False
1466,1173,26,True
1467,1174,21,True
1468,1175,17,True
1469,1176,17,True
1470,1176,24,False
1471,1177,19,True
1472,1178,15,True
1473,1179,1,True
1474,1180,6,True
1475,1180,17,False
1476,1181,18,True
1477,1182,6,True
1478,1183,2,True
1479,1184,5,True
1480,1184,20,False
1481,1185,23,True
1482,1186,21,True
1483,1187,14,True
1484,1188,15,False
1485,1188,22,True
1486,1189,2,True
1487,1190,26,True
1488,1191,16,True
1489,1192,20,False
1490,1192,23,True
1491,1193,5,True
1492,1194,8,True
1493,1195,25,True
1494,1196,1,False
1495,1196,26,True
1496,1197,3,True
1497,1198,24,True
1498,1199,26,True
1499,1200,3,True
1500,1200,8,False
1501,1201,17,True
1502,1202,15,True
1503,1203,24,True
1504,1204,12,True
1505,1204,21,False
1506,1205,12,True
1507,1206,8,True
1508,1207,21,True
1509,1208,6,False
1510,1208,19,True
1511,1209,7,True
1512,1210,19,True
1513,1211,26,True
1514,1212,17,False
1515,1212,26,True
1516,1213,16,True
1517,1214,16,True
1518,1215,3,True
1519,1216,4,False
1520,1216,9,True
1521,1217,23,True
1522,1218,23,True
1523,1219,2,True
1524,1220,15,False
1525,1220,16,True
1526,1221,4,True
1527,1222,7,True
1528,1223,22,True
1529,1224,15,True
1530,1224,18,False
1531,1225,6,True
1532,1226,1,True
1533,1227,5,True
1534,1228,1,True
1535,1228,8,False
1536,1229,16,True
1537,1230,19,True
1538,1231,7,True
1539,1232,7,False
1540,1232,22,True
1541,1233,25,True
1542,1234,11,True
1543,1235,17,True
1544,1236,15,False
1545,1236,26,True
1546,1237,11,True
1547,1238,21,True
1548,1239,19,True
1549,1240,16,False
1550,1240,23,True
1551,1241,12,True
1552,1242,24,True
1553,1243,21,True
1554,1244,1,True
1555,1244,24,False
1556,1245,23,True
1557,1246,5,True
1558,1247,26,True
1559,1248,19,True
1560,1248,20,False
1561,1249,9,True
1562,1250,19,True
1563,1251,13,True
1564,1252,19,True
1565,1252,24,False
1566,1253,22,True
1567,1254,7,True
1568,1255,11,True
1569,1256,3,True
1570,1256,12,False
1571,1257,2,True
1572,1258,13,True
1573,1259,19,True
1574,1260,13,True
1575,1260,26,False
1576,1261,3,True
1577,1262,2,True
1578,1263,21,True
1579,1264,14,False
1580,1264,23,True
1581,1265,14,True
1582,1266,3,True
1583,1267,24,True
1584,1268,14,False
1585,1268,19,True
1586,1269,9,True
1587,1270,25,True
1588,1271,18,True
1589,1272,4,False
1590,1272,5,True
1591,1273,15,True
1592,1274,18,True
1593,1275,7,True
1594,1276,3,False
1595,1276,26,True
1596,1277,2,True
1597,1278,19,True
1598,1279,25,True
1599,1280,5,False
1600,1280,24,True
1601,1281,26,True
1602,1282,7,True
1603,1283,21,True
1604,1284,1,True
1605,1284,12,False
1606,1285,24,True
1607,1286,23,True
1608,1287,17,True
1609,1288,7,True
1610,1288,22,False
1611,1289,2,True
1612,1290,8,True
1613,1291,24,True
1614,1292,1,False
1615,1292,8,True
1616,1293,10,True
1617,1294,16,True
