LifecycleKey,IncidentKey,Stage,StageOrder,StageAtUTC,StageDateKey,AnalystKey,MinutesFromPreviousStage,SafeAction
26,6,Triaged,3,2026-04-13T12:00:28Z,20260413,15,42.0,Transição sintética para Triaged.
27,6,Contained,4,2026-04-13T13:00:28Z,20260413,15,60.0,Transição sintética para Contained.
28,6,Resolved,5,2026-04-13T15:30:28Z,20260413,15,150.0,Transição sintética para Resolved.
29,6,Closed,6,2026-04-14T01:47:28Z,20260414,15,617.0,Transição sintética para Closed.
30,7,Created,1,2025-06-21T15:59:04Z,20250621,7,,Transição sintética para Created.
31,7,Acknowledged,2,2025-06-21T16:33:04Z,20250621,7,34.0,Transição sintética para Acknowledged.
32,7,Triaged,3,2025-06-21T16:58:04Z,20250621,7,25.0,Transição sintética para Triaged.
33,7,Contained,4,2025-06-21T17:36:04Z,20250621,7,38.0,Transição sintética para Contained.
34,7,Resolved,5,2025-06-22T00:30:04Z,20250622,7,414.0,Transição sintética para Resolved.
35,7,Closed,6,2025-06-22T09:10:04Z,20250622,7,520.0,Transição sintética para Closed.
36,8,Created,1,2025-05-18T22:02:33Z,20250518,18,,Transição sintética para Created.
37,8,Acknowledged,2,2025-05-18T22:48:33Z,20250518,18,46.0,Transição sintética para Acknowledged.
38,8,Triaged,3,2025-05-18T23:08:33Z,20250518,18,20.0,Transição sintética para Triaged.
39,8,Contained,4,2025-05-19T00:06:33Z,20250519,18,58.0,Transição sintética para Contained.
40,8,Resolved,5,2025-05-19T07:18:33Z,20250519,18,432.0,Transição sintética para Resolved.
41,8,Closed,6,2025-05-19T08:13:33Z,20250519,18,55.0,Transição sintética para Closed.
42,9,Created,1,2025-09-03T15:51:20Z,20250903,12,,Transição sintética para Created.
43,9,Acknowledged,2,2025-09-03T16:26:20Z,20250903,12,35.0,Transição sintética para Acknowledged.
44,9,Triaged,3,2025-09-03T16:39:20Z,20250903,12,13.0,Transição sintética para Triaged.
45,9,Contained,4,2025-09-03T16:59:20Z,20250903,12,20.0,Transição sintética para Contained.
46,9,Resolved,5,2025-09-03T19:43:20Z,20250903,12,164.0,Transição sintética para Resolved.
47,10,Created,1,2026-05-30T23:51:57Z,20260530,6,,Transição sintética para Created.
48,10,Acknowledged,2,2026-05-31T00:08:57Z,20260531,6,17.0,Transição sintética para Acknowledged.
49,10,Triaged,3,2026-05-31T03:23:57Z,20260531,6,195.0,Transição sintética para Triaged.
50,10,Contained,4,2026-05-31T09:27:57Z,20260531,6,364.0,Transição sintética para Contained.
51,10,Resolved,5,2026-05-31T14:35:57Z,20260531,6,308.0,Transição sintética para Resolved.
52,10,Closed,6,2026-05-31T16:53:57Z,20260531,6,138.0,Transição sintética para Closed.
53,11,Created,1,2025-05-20T21:48:43Z,20250520,17,,Transição sintética para Created.
54,11,Acknowledged,2,2025-05-20T22:07:43Z,20250520,17,19.0,Transição sintética para Acknowledged.
55,11,Triaged,3,2025-05-20T22:20:43Z,20250520,17,13.0,Transição sintética para Triaged.
56,11,Contained,4,2025-05-20T23:50:43Z,20250520,17,90.0,Transição sintética para Contained.
57,11,Resolved,5,2025-05-21T08:43:43Z,20250521,17,533.0,Transição sintética para Resolved.
58,11,Closed,6,2025-05-21T13:00:43Z,20250521,17,257.0,Transição sintética para Closed.
59,12,Created,1,2025-12-18T10:07:32Z,20251218,8,,Transição sintética para Created.
60,12,Acknowledged,2,2025-12-18T10:48:32Z,20251218,8,41.0,Transição sintética para Acknowledged.
61,12,Triaged,3,2025-12-18T11:13:32Z,20251218,8,25.0,Transição sintética para Triaged.
62,12,Contained,4,2025-12-18T11:50:32Z,20251218,8,37.0,Transição sintética para Contained.
63,12,Resolved,5,2025-12-18T18:36:32Z,20251218,8,406.0,Transição sintética para Resolved.
64,12,Closed,6,2025-12-19T05:39:32Z,20251219,8,663.0,Transição sintética para Closed.
65,13,Created,1,2026-07-16T10:30:53Z,20260716,2,,Transição sintética para Created.
66,13,Acknowledged,2,2026-07-16T11:04:53Z,20260716,2,34.0,Transição sintética para Acknowledged.
67,13,Triaged,3,2026-07-16T11:35:53Z,20260716,2,31.0,Transição sintética para Triaged.
68,13,Contained,4,2026-07-16T13:40:53Z,20260716,2,125.0,Transição sintética para Contained.
69,13,Resolved,5,2026-07-16T14:44:53Z,20260716,2,64.0,Transição sintética para Resolved.
70,13,Closed,6,2026-07-16T16:27:53Z,20260716,2,103.0,Transição sintética para Closed.
71,14,Created,1,2025-06-24T03:46:14Z,20250624,12,,Transição sintética para Created.
72,14,Acknowledged,2,2025-06-24T04:09:14Z,20250624,12,23.0,Transição sintética para Acknowledged.
73,14,Triaged,3,2025-06-24T04:53:14Z,20250624,12,44.0,Transição sintética para Triaged.
74,14,Contained,4,2025-06-24T05:14:14Z,20250624,12,21.0,Transição sintética para Contained.
75,14,Resolved,5,2025-06-24T08:05:14Z,20250624,12,171.0,Transição sintética para Resolved.
76,14,Closed,6,2025-06-24T17:56:14Z,20250624,12,591.0,Transição sintética para Closed.
77,15,Created,1,2026-05-02T09:40:19Z,20260502,7,,Transição sintética para Created.
78,15,Acknowledged,2,2026-05-02T09:58:19Z,20260502,7,18.0,Transição sintética para Acknowledged.
79,15,Triaged,3,2026-05-02T10:28:19Z,20260502,7,30.0,Transição sintética para Triaged.
80,15,Contained,4,2026-05-02T11:25:19Z,20260502,7,57.0,Transição sintética para Contained.
81,15,Resolved,5,2026-05-02T17:07:19Z,20260502,7,342.0,Transição sintética para Resolved.
82,15,Closed,6,2026-05-02T21:51:19Z,20260502,7,284.0,Transição sintética para Closed.
83,16,Created,1,2025-04-04T00:30:27Z,20250404,1,,Transição sintética para Created.
84,16,Acknowledged,2,2025-04-04T00:48:27Z,20250404,1,18.0,Transição sintética para Acknowledged.
85,16,Triaged,3,2025-04-04T01:06:27Z,20250404,1,18.0,Transição sintética para Triaged.
86,16,Contained,4,2025-04-04T02:41:27Z,20250404,1,95.0,Transição sintética para Contained.
87,16,Resolved,5,2025-04-04T05:58:27Z,20250404,1,197.0,Transição sintética para Resolved.
88,16,Closed,6,2025-04-04T14:58:27Z,20250404,1,540.0,Transição sintética para Closed.
89,17,Created,1,2025-09-03T11:19:46Z,20250903,10,,Transição sintética para Created.
90,17,Acknowledged,2,2025-09-03T12:02:46Z,20250903,10,43.0,Transição sintética para Acknowledged.
91,17,Triaged,3,2025-09-03T12:29:46Z,20250903,10,27.0,Transição sintética para Triaged.
92,17,Contained,4,2025-09-03T16:11:46Z,20250903,10,222.0,Transição sintética para Contained.
93,17,Resolved,5,2025-09-04T06:22:46Z,20250904,10,851.0,Transição sintética para Resolved.
94,17,Closed,6,2025-09-04T08:23:46Z,20250904,10,121.0,Transição sintética para Closed.
95,18,Created,1,2026-02-04T12:28:39Z,20260204,3,,Transição sintética para Created.
96,18,Acknowledged,2,2026-02-04T12:59:39Z,20260204,3,31.0,Transição sintética para Acknowledged.
97,18,Triaged,3,2026-02-04T13:53:39Z,20260204,3,54.0,Transição sintética para Triaged.
98,18,Contained,4,2026-02-04T17:53:39Z,20260204,3,240.0,Transição sintética para Contained.
99,18,Resolved,5,2026-02-04T20:16:39Z,20260204,3,143.0,Transição sintética para Resolved.
100,18,Closed,6,2026-02-05T05:52:39Z,20260205,3,576.0,Transição sintética para Closed.
101,19,Created,1,2025-02-07T08:48:37Z,20250207,13,,Transição sintética para Created.
102,19,Acknowledged,2,2025-02-07T08:53:37Z,20250207,13,5.0,Transição sintética para Acknowledged.
103,19,Triaged,3,2025-02-07T09:13:37Z,20250207,13,20.0,Transição sintética para Triaged.
104,19,Contained,4,2025-02-07T13:54:37Z,20250207,13,281.0,Transição sintética para Contained.
105,19,Resolved,5,2025-02-07T20:22:37Z,20250207,13,388.0,Transição sintética para Resolved.
106,19,Closed,6,2025-02-08T03:32:37Z,20250208,13,430.0,Transição sintética para Closed.
107,20,Created,1,2025-09-27T12:09:39Z,20250927,6,,Transição sintética para Created.
108,20,Acknowledged,2,2025-09-27T12:17:39Z,20250927,6,8.0,Transição sintética para Acknowledged.
109,20,Triaged,3,2025-09-27T12:37:39Z,20250927,6,20.0,Transição sintética para Triaged.
110,20,Contained,4,2025-09-27T14:47:39Z,20250927,6,130.0,Transição sintética para Contained.
111,20,Resolved,5,2025-09-27T21:16:39Z,20250927,6,389.0,Transição sintética para Resolved.
112,20,Closed,6,2025-09-28T04:39:39Z,20250928,6,443.0,Transição sintética para Closed.
113,21,Created,1,2025-05-11T21:03:13Z,20250511,18,,Transição sintética para Created.
114,21,Acknowledged,2,2025-05-11T21:15:13Z,20250511,18,12.0,Transição sintética para Acknowledged.
115,21,Triaged,3,2025-05-11T22:09:13Z,20250511,18,54.0,Transição sintética para Triaged.
116,21,Contained,4,2025-05-11T22:56:13Z,20250511,18,47.0,Transição sintética para Contained.
117,21,Resolved,5,2025-05-12T01:33:13Z,20250512,18,157.0,Transição sintética para Resolved.
118,21,Closed,6,2025-05-12T03:41:13Z,20250512,18,128.0,Transição sintética para Closed.
119,22,Created,1,2026-03-02T12:54:59Z,20260302,11,,Transição sintética para Created.
120,22,Acknowledged,2,2026-03-02T13:47:59Z,20260302,11,53.0,Transição sintética para Acknowledged.
121,22,Triaged,3,2026-03-02T14:05:59Z,20260302,11,18.0,Transição sintética para Triaged.
122,22,Contained,4,2026-03-02T14:18:59Z,20260302,11,13.0,Transição sintética para Contained.
123,22,Resolved,5,2026-03-02T16:37:59Z,20260302,11,139.0,Transição sintética para Resolved.
124,22,Closed,6,2026-03-03T02:32:59Z,20260303,11,595.0,Transição sintética para Closed.
125,23,Created,1,2025-03-27T01:58:27Z,20250327,4,,Transição sintética para Created.
126,23,Acknowledged,2,2025-03-27T02:17:27Z,20250327,4,19.0,Transição sintética para Acknowledged.
127,23,Triaged,3,2025-03-27T02:29:27Z,20250327,4,12.0,Transição sintética para Triaged.
128,23,Contained,4,2025-03-27T03:42:27Z,20250327,4,73.0,Transição sintética para Contained.
129,23,Resolved,5,2025-03-27T06:45:27Z,20250327,4,183.0,Transição sintética para Resolved.
130,23,Closed,6,2025-03-27T09:15:27Z,20250327,4,150.0,Transição sintética para Closed.
131,24,Created,1,2025-11-12T12:05:26Z,20251112,14,,Transição sintética para Created.
132,24,Acknowledged,2,2025-11-12T12:55:26Z,20251112,14,50.0,Transição sintética para Acknowledged.
133,24,Triaged,3,2025-11-12T13:01:26Z,20251112,14,6.0,Transição sintética para Triaged.
134,24,Contained,4,2025-11-12T13:40:26Z,20251112,14,39.0,Transição sintética para Contained.
135,24,Resolved,5,2025-11-12T17:21:26Z,20251112,14,221.0,Transição sintética para Resolved.
136,24,Closed,6,2025-11-12T20:13:26Z,20251112,14,172.0,Transição sintética para Closed.
137,25,Created,1,2026-05-22T09:54:35Z,20260522,11,,Transição sintética para Created.
138,25,Acknowledged,2,2026-05-22T10:03:35Z,20260522,11,9.0,Transição sintética para Acknowledged.
139,25,Triaged,3,2026-05-22T10:29:35Z,20260522,11,26.0,Transição sintética para Triaged.
140,25,Contained,4,2026-05-22T11:40:35Z,20260522,11,71.0,Transição sintética para Contained.
141,25,Resolved,5,2026-05-22T15:54:35Z,20260522,11,254.0,Transição sintética para Resolved.
142,25,Closed,6,2026-05-22T20:43:35Z,20260522,11,289.0,Transição sintética para Closed.
143,26,Created,1,2025-07-30T05:02:26Z,20250730,1,,Transição sintética para Created.
144,26,Acknowledged,2,2025-07-30T05:25:26Z,20250730,1,23.0,Transição sintética para Acknowledged.
145,26,Triaged,3,2025-07-30T05:50:26Z,20250730,1,25.0,Transição sintética para Triaged.
146,26,Contained,4,2025-07-30T05:58:26Z,20250730,1,8.0,Transição sintética para Contained.
147,26,Resolved,5,2025-07-31T07:23:26Z,20250731,1,1525.0,Transição sintética para Resolved.
148,26,Closed,6,2025-07-31T19:23:26Z,20250731,1,720.0,Transição sintética para Closed.
149,27,Created,1,2025-04-29T08:00:07Z,20250429,13,,Transição sintética para Created.
150,27,Acknowledged,2,2025-04-29T08:18:07Z,20250429,13,18.0,Transição sintética para Acknowledged.
151,27,Triaged,3,2025-04-29T08:35:07Z,20250429,13,17.0,Transição sintética para Triaged.
152,27,Contained,4,2025-04-29T09:03:07Z,20250429,13,28.0,Transição sintética para Contained.
153,28,Created,1,2025-08-10T19:17:52Z,20250810,4,,Transição sintética para Created.
154,28,Acknowledged,2,2025-08-10T22:17:52Z,20250810,4,180.0,Transição sintética para Acknowledged.
155,28,Triaged,3,2025-08-10T22:31:52Z,20250810,4,14.0,Transição sintética para Triaged.
156,28,Contained,4,2025-08-10T23:14:52Z,20250810,4,43.0,Transição sintética para Contained.
157,28,Resolved,5,2025-08-11T00:49:52Z,20250811,4,95.0,Transição sintética para Resolved.
158,28,Closed,6,2025-08-11T05:39:52Z,20250811,4,290.0,Transição sintética para Closed.
159,29,Created,1,2025-04-10T08:15:58Z,20250410,16,,Transição sintética para Created.
160,29,Acknowledged,2,2025-04-10T08:42:58Z,20250410,16,27.0,Transição sintética para Acknowledged.
161,29,Triaged,3,2025-04-10T09:02:58Z,20250410,16,20.0,Transição sintética para Triaged.
162,29,Contained,4,2025-04-10T10:03:58Z,20250410,16,61.0,Transição sintética para Contained.
163,29,Resolved,5,2025-04-10T12:54:58Z,20250410,16,171.0,Transição sintética para Resolved.
164,29,Closed,6,2025-04-11T00:14:58Z,20250411,16,680.0,Transição sintética para Closed.
165,30,Created,1,2025-03-24T17:56:45Z,20250324,11,,Transição sintética para Created.
166,30,Acknowledged,2,2025-03-24T19:24:45Z,20250324,11,88.0,Transição sintética para Acknowledged.
167,30,Triaged,3,2025-03-24T19:46:45Z,20250324,11,22.0,Transição sintética para Triaged.
168,30,Contained,4,2025-03-24T21:16:45Z,20250324,11,90.0,Transição sintética para Contained.
169,30,Resolved,5,2025-03-24T22:28:45Z,20250324,11,72.0,Transição sintética para Resolved.
170,30,Closed,6,2025-03-25T02:41:45Z,20250325,11,253.0,Transição sintética para Closed.
171,31,Created,1,2026-05-08T22:31:39Z,20260508,2,,Transição sintética para Created.
172,31,Acknowledged,2,2026-05-08T22:54:39Z,20260508,2,23.0,Transição sintética para Acknowledged.
173,31,Triaged,3,2026-05-08T23:41:39Z,20260508,2,47.0,Transição sintética para Triaged.
174,31,Contained,4,2026-05-09T01:08:39Z,20260509,2,87.0,Transição sintética para Contained.
175,31,Resolved,5,2026-05-09T02:25:39Z,20260509,2,77.0,Transição sintética para Resolved.
176,31,Closed,6,2026-05-09T13:34:39Z,20260509,2,669.0,Transição sintética para Closed.
177,32,Created,1,2025-09-29T18:21:35Z,20250929,12,,Transição sintética para Created.
178,32,Acknowledged,2,2025-09-29T19:32:35Z,20250929,12,71.0,Transição sintética para Acknowledged.
179,32,Triaged,3,2025-09-29T19:53:35Z,20250929,12,21.0,Transição sintética para Triaged.
180,32,Contained,4,2025-09-29T22:13:35Z,20250929,12,140.0,Transição sintética para Contained.
181,32,Resolved,5,2025-09-30T01:40:35Z,20250930,12,207.0,Transição sintética para Resolved.
182,33,Created,1,2026-04-20T14:47:32Z,20260420,5,,Transição sintética para Created.
183,33,Acknowledged,2,2026-04-20T15:08:32Z,20260420,5,21.0,Transição sintética para Acknowledged.
184,33,Triaged,3,2026-04-20T15:18:32Z,20260420,5,10.0,Transição sintética para Triaged.
185,33,Contained,4,2026-04-20T16:45:32Z,20260420,5,87.0,Transição sintética para Contained.
186,33,Resolved,5,2026-04-20T21:02:32Z,20260420,5,257.0,Transição sintética para Resolved.
187,33,Closed,6,2026-04-21T06:26:32Z,20260421,5,564.0,Transição sintética para Closed.
188,34,Created,1,2025-09-23T19:44:53Z,20250923,17,,Transição sintética para Created.
189,34,Acknowledged,2,2025-09-23T20:07:53Z,20250923,17,23.0,Transição sintética para Acknowledged.
190,34,Triaged,3,2025-09-23T21:02:53Z,20250923,17,55.0,Transição sintética para Triaged.
191,35,Created,1,2025-11-03T12:12:17Z,20251103,10,,Transição sintética para Created.
192,35,Acknowledged,2,2025-11-03T12:40:17Z,20251103,10,28.0,Transição sintética para Acknowledged.
193,35,Triaged,3,2025-11-03T13:28:17Z,20251103,10,48.0,Transição sintética para Triaged.
194,35,Contained,4,2025-11-03T14:36:17Z,20251103,10,68.0,Transição sintética para Contained.
195,35,Resolved,5,2025-11-03T16:15:17Z,20251103,10,99.0,Transição sintética para Resolved.
196,35,Closed,6,2025-11-03T16:54:17Z,20251103,10,39.0,Transição sintética para Closed.
197,36,Created,1,2025-06-03T01:44:08Z,20250603,3,,Transição sintética para Created.
198,36,Acknowledged,2,2025-06-03T01:57:08Z,20250603,3,13.0,Transição sintética para Acknowledged.
199,36,Triaged,3,2025-06-03T02:24:08Z,20250603,3,27.0,Transição sintética para Triaged.
200,36,Contained,4,2025-06-03T05:56:08Z,20250603,3,212.0,Transição sintética para Contained.
201,36,Resolved,5,2025-06-03T08:39:08Z,20250603,3,163.0,Transição sintética para Resolved.
202,36,Closed,6,2025-06-03T11:21:08Z,20250603,3,162.0,Transição sintética para Closed.
203,37,Created,1,2025-02-13T00:55:14Z,20250213,14,,Transição sintética para Created.
204,37,Acknowledged,2,2025-02-13T01:04:14Z,20250213,14,9.0,Transição sintética para Acknowledged.
205,37,Triaged,3,2025-02-13T01:20:14Z,20250213,14,16.0,Transição sintética para Triaged.
206,37,Contained,4,2025-02-13T02:16:14Z,20250213,14,56.0,Transição sintética para Contained.
207,37,Resolved,5,2025-02-13T05:54:14Z,20250213,14,218.0,Transição sintética para Resolved.
208,37,Closed,6,2025-02-13T10:43:14Z,20250213,14,289.0,Transição sintética para Closed.
209,38,Created,1,2025-11-30T23:24:35Z,20251130,8,,Transição sintética para Created.
210,38,Acknowledged,2,2025-12-01T00:27:35Z,20251201,8,63.0,Transição sintética para Acknowledged.
211,38,Triaged,3,2025-12-01T00:38:35Z,20251201,8,11.0,Transição sintética para Triaged.
212,38,Contained,4,2025-12-01T03:52:35Z,20251201,8,194.0,Transição sintética para Contained.
213,38,Resolved,5,2025-12-01T05:42:35Z,20251201,8,110.0,Transição sintética para Resolved.
214,38,Closed,6,2025-12-01T07:36:35Z,20251201,8,114.0,Transição sintética para Closed.
215,39,Created,1,2025-09-28T10:20:27Z,20250928,18,,Transição sintética para Created.
216,39,Acknowledged,2,2025-09-28T10:28:27Z,20250928,18,8.0,Transição sintética para Acknowledged.
217,39,Triaged,3,2025-09-28T10:41:27Z,20250928,18,13.0,Transição sintética para Triaged.
218,39,Contained,4,2025-09-28T12:00:27Z,20250928,18,79.0,Transição sintética para Contained.
219,39,Resolved,5,2025-09-28T14:06:27Z,20250928,18,126.0,Transição sintética para Resolved.
220,39,Closed,6,2025-09-28T20:05:27Z,20250928,18,359.0,Transição sintética para Closed.
221,40,Created,1,2026-04-28T10:10:21Z,20260428,11,,Transição sintética para Created.
222,40,Acknowledged,2,2026-04-28T10:13:21Z,20260428,11,3.0,Transição sintética para Acknowledged.
223,40,Triaged,3,2026-04-28T10:31:21Z,20260428,11,18.0,Transição sintética para Triaged.
224,40,Contained,4,2026-04-28T14:00:21Z,20260428,11,209.0,Transição sintética para Contained.
225,40,Resolved,5,2026-04-28T20:09:21Z,20260428,11,369.0,Transição sintética para Resolved.
226,40,Closed,6,2026-04-28T21:46:21Z,20260428,11,97.0,Transição sintética para Closed.
227,41,Created,1,2025-04-08T08:34:27Z,20250408,3,,Transição sintética para Created.
228,41,Acknowledged,2,2025-04-08T09:27:27Z,20250408,3,53.0,Transição sintética para Acknowledged.
229,41,Triaged,3,2025-04-08T09:35:27Z,20250408,3,8.0,Transição sintética para Triaged.
230,41,Contained,4,2025-04-08T11:39:27Z,20250408,3,124.0,Transição sintética para Contained.
231,41,Resolved,5,2025-04-08T18:14:27Z,20250408,3,395.0,Transição sintética para Resolved.
232,41,Closed,6,2025-04-09T05:25:27Z,20250409,3,671.0,Transição sintética para Closed.
233,42,Created,1,2026-03-01T11:50:27Z,20260301,15,,Transição sintética para Created.
234,42,Acknowledged,2,2026-03-01T12:33:27Z,20260301,15,43.0,Transição sintética para Acknowledged.
235,42,Triaged,3,2026-03-01T13:02:27Z,20260301,15,29.0,Transição sintética para Triaged.
236,42,Contained,4,2026-03-01T14:25:27Z,20260301,15,83.0,Transição sintética para Contained.
237,42,Resolved,5,2026-03-01T15:07:27Z,20260301,15,42.0,Transição sintética para Resolved.
238,43,Created,1,2025-06-06T13:06:11Z,20250606,9,,Transição sintética para Created.
239,43,Acknowledged,2,2025-06-06T13:44:11Z,20250606,9,38.0,Transição sintética para Acknowledged.
240,43,Triaged,3,2025-06-06T14:10:11Z,20250606,9,26.0,Transição sintética para Triaged.
241,43,Contained,4,2025-06-06T18:02:11Z,20250606,9,232.0,Transição sintética para Contained.
242,43,Resolved,5,2025-06-06T19:03:11Z,20250606,9,61.0,Transição sintética para Resolved.
243,43,Closed,6,2025-06-07T00:23:11Z,20250607,9,320.0,Transição sintética para Closed.
244,44,Created,1,2025-11-15T16:18:04Z,20251115,18,,Transição sintética para Created.
245,44,Acknowledged,2,2025-11-15T16:42:04Z,20251115,18,24.0,Transição sintética para Acknowledged.
246,44,Triaged,3,2025-11-15T16:54:04Z,20251115,18,12.0,Transição sintética para Triaged.
247,44,Contained,4,2025-11-15T17:31:04Z,20251115,18,37.0,Transição sintética para Contained.
248,44,Resolved,5,2025-11-15T18:39:04Z,20251115,18,68.0,Transição sintética para Resolved.
249,44,Closed,6,2025-11-15T21:29:04Z,20251115,18,170.0,Transição sintética para Closed.
250,45,Created,1,2025-03-09T17:09:21Z,20250309,15,,Transição sintética para Created.
251,45,Acknowledged,2,2025-03-09T17:44:21Z,20250309,15,35.0,Transição sintética para Acknowledged.
252,45,Triaged,3,2025-03-09T18:01:21Z,20250309,15,17.0,Transição sintética para Triaged.
253,45,Contained,4,2025-03-09T18:42:21Z,20250309,15,41.0,Transição sintética para Contained.
254,45,Resolved,5,2025-03-09T19:48:21Z,20250309,15,66.0,Transição sintética para Resolved.
255,45,Closed,6,2025-03-10T02:49:21Z,20250310,15,421.0,Transição sintética para Closed.
256,46,Created,1,2026-02-16T15:12:44Z,20260216,5,,Transição sintética para Created.
257,46,Acknowledged,2,2026-02-16T15:27:44Z,20260216,5,15.0,Transição sintética para Acknowledged.
258,46,Triaged,3,2026-02-16T15:50:44Z,20260216,5,23.0,Transição sintética para Triaged.
259,46,Contained,4,2026-02-16T20:49:44Z,20260216,5,299.0,Transição sintética para Contained.
260,46,Resolved,5,2026-02-16T22:20:44Z,20260216,5,91.0,Transição sintética para Resolved.
261,46,Closed,6,2026-02-17T03:34:44Z,20260217,5,314.0,Transição sintética para Closed.
262,47,Created,1,2025-07-21T13:07:48Z,20250721,16,,Transição sintética para Created.
263,47,Acknowledged,2,2025-07-21T13:22:48Z,20250721,16,15.0,Transição sintética para Acknowledged.
264,47,Triaged,3,2025-07-21T13:32:48Z,20250721,16,10.0,Transição sintética para Triaged.
265,47,Contained,4,2025-07-21T15:02:48Z,20250721,16,90.0,Transição sintética para Contained.
266,47,Resolved,5,2025-07-21T15:41:48Z,20250721,16,39.0,Transição sintética para Resolved.
267,47,Closed,6,2025-07-21T22:11:48Z,20250721,16,390.0,Transição sintética para Closed.
268,48,Created,1,2026-07-01T15:34:11Z,20260701,9,,Transição sintética para Created.
269,48,Acknowledged,2,2026-07-01T16:09:11Z,20260701,9,35.0,Transição sintética para Acknowledged.
270,48,Triaged,3,2026-07-01T16:20:11Z,20260701,9,11.0,Transição sintética para Triaged.
271,48,Contained,4,2026-07-01T16:51:11Z,20260701,9,31.0,Transição sintética para Contained.
272,48,Resolved,5,2026-07-01T18:20:11Z,20260701,9,89.0,Transição sintética para Resolved.
273,48,Closed,6,2026-07-02T02:45:11Z,20260702,9,505.0,Transição sintética para Closed.
274,49,Created,1,2025-07-17T14:46:28Z,20250717,2,,Transição sintética para Created.
275,49,Acknowledged,2,2025-07-17T14:53:28Z,20250717,2,7.0,Transição sintética para Acknowledged.
276,49,Triaged,3,2025-07-17T15:08:28Z,20250717,2,15.0,Transição sintética para Triaged.
277,49,Contained,4,2025-07-17T17:09:28Z,20250717,2,121.0,Transição sintética para Contained.
278,49,Resolved,5,2025-07-17T22:26:28Z,20250717,2,317.0,Transição sintética para Resolved.
279,49,Closed,6,2025-07-18T04:15:28Z,20250718,2,349.0,Transição sintética para Closed.
280,50,Created,1,2025-05-06T13:27:31Z,20250506,12,,Transição sintética para Created.
281,50,Acknowledged,2,2025-05-06T13:36:31Z,20250506,12,9.0,Transição sintética para Acknowledged.
282,50,Triaged,3,2025-05-06T14:33:31Z,20250506,12,57.0,Transição sintética para Triaged.
283,50,Contained,4,2025-05-06T16:42:31Z,20250506,12,129.0,Transição sintética para Contained.
284,50,Resolved,5,2025-05-06T17:38:31Z,20250506,12,56.0,Transição sintética para Resolved.
285,50,Closed,6,2025-05-07T03:33:31Z,20250507,12,595.0,Transição sintética para Closed.
286,51,Created,1,2026-02-18T00:12:24Z,20260218,5,,Transição sintética para Created.
287,51,Acknowledged,2,2026-02-18T00:31:24Z,20260218,5,19.0,Transição sintética para Acknowledged.
288,51,Triaged,3,2026-02-18T01:05:24Z,20260218,5,34.0,Transição sintética para Triaged.
289,51,Contained,4,2026-02-18T02:40:24Z,20260218,5,95.0,Transição sintética para Contained.
