SLAFactKey,IncidentKey,SLAKey,AcknowledgeTargetMinutes,AcknowledgeActualMinutes,AcknowledgeMet,ContainTargetMinutes,ContainActualMinutes,ContainMet,ResolveTargetMinutes,ResolveActualMinutes,ResolveMet,OverallMet
28,28,1,240,180.0,True,1440,237.0,True,4320,332.0,True,True
29,29,2,120,27.0,True,720,108.0,True,2880,279.0,True,True
30,30,4,30,88.0,False,180,200.0,False,720,272.0,True,False
31,31,2,120,23.0,True,720,157.0,True,2880,234.0,True,True
32,32,1,240,71.0,True,1440,232.0,True,4320,439.0,True,True
33,33,1,240,21.0,True,1440,118.0,True,4320,375.0,True,True
34,34,2,120,23.0,True,720,,False,2880,,False,False
35,35,2,120,28.0,True,720,144.0,True,2880,243.0,True,True
36,36,2,120,13.0,True,720,252.0,True,2880,415.0,True,True
37,37,2,120,9.0,True,720,81.0,True,2880,299.0,True,True
38,38,3,60,63.0,False,360,268.0,True,1440,378.0,True,False
39,39,2,120,8.0,True,720,100.0,True,2880,226.0,True,True
40,40,2,120,3.0,True,720,230.0,True,2880,599.0,True,True
41,41,1,240,53.0,True,1440,185.0,True,4320,580.0,True,True
42,42,2,120,43.0,True,720,155.0,True,2880,197.0,True,True
43,43,3,60,38.0,True,360,296.0,True,1440,357.0,True,True
44,44,1,240,24.0,True,1440,73.0,True,4320,141.0,True,True
45,45,5,15,35.0,False,60,93.0,False,240,159.0,True,False
46,46,2,120,15.0,True,720,337.0,True,2880,428.0,True,True
47,47,2,120,15.0,True,720,115.0,True,2880,154.0,True,True
48,48,2,120,35.0,True,720,77.0,True,2880,166.0,True,True
49,49,2,120,7.0,True,720,143.0,True,2880,460.0,True,True
50,50,1,240,9.0,True,1440,195.0,True,4320,251.0,True,True
51,51,1,240,19.0,True,1440,148.0,True,4320,1059.0,True,True
52,52,1,240,9.0,True,1440,,False,4320,,False,False
53,53,5,15,9.0,True,60,139.0,False,240,192.0,True,False
54,54,3,60,3.0,True,360,59.0,True,1440,525.0,True,True
55,55,1,240,29.0,True,1440,149.0,True,4320,359.0,True,True
56,56,3,60,60.0,True,360,,False,1440,,False,False
57,57,1,240,32.0,True,1440,221.0,True,4320,695.0,True,True
58,58,2,120,6.0,True,720,95.0,True,2880,225.0,True,True
59,59,2,120,28.0,True,720,143.0,True,2880,557.0,True,True
60,60,2,120,25.0,True,720,453.0,True,2880,692.0,True,True
61,61,1,240,17.0,True,1440,85.0,True,4320,241.0,True,True
62,62,3,60,2.0,True,360,115.0,True,1440,182.0,True,True
63,63,2,120,15.0,True,720,54.0,True,2880,830.0,True,True
64,64,1,240,21.0,True,1440,196.0,True,4320,449.0,True,True
65,65,1,240,5.0,True,1440,111.0,True,4320,567.0,True,True
66,66,2,120,33.0,True,720,134.0,True,2880,422.0,True,True
67,67,5,15,33.0,False,60,103.0,False,240,258.0,False,False
68,68,1,240,38.0,True,1440,121.0,True,4320,,False,False
69,69,2,120,28.0,True,720,157.0,True,2880,241.0,True,True
70,70,2,120,11.0,True,720,165.0,True,2880,950.0,True,True
71,71,2,120,30.0,True,720,77.0,True,2880,246.0,True,True
72,72,1,240,15.0,True,1440,281.0,True,4320,415.0,True,True
73,73,1,240,20.0,True,1440,169.0,True,4320,313.0,True,True
74,74,1,240,51.0,True,1440,92.0,True,4320,121.0,True,True
75,75,2,120,9.0,True,720,57.0,True,2880,164.0,True,True
76,76,5,15,25.0,False,60,50.0,True,240,136.0,True,False
77,77,1,240,37.0,True,1440,201.0,True,4320,271.0,True,True
78,78,3,60,6.0,True,360,140.0,True,1440,217.0,True,True
79,79,4,30,45.0,False,180,133.0,True,720,469.0,True,False
80,80,2,120,37.0,True,720,82.0,True,2880,443.0,True,True
81,81,1,240,18.0,True,1440,45.0,True,4320,413.0,True,True
82,82,3,60,7.0,True,360,67.0,True,1440,205.0,True,True
83,83,1,240,4.0,True,1440,203.0,True,4320,387.0,True,True
84,84,1,240,24.0,True,1440,144.0,True,4320,309.0,True,True
85,85,2,120,18.0,True,720,,False,2880,,False,False
86,86,2,120,7.0,True,720,329.0,True,2880,922.0,True,True
87,87,1,240,5.0,True,1440,100.0,True,4320,1098.0,True,True
88,88,1,240,67.0,True,1440,292.0,True,4320,723.0,True,True
89,89,1,240,58.0,True,1440,153.0,True,4320,210.0,True,True
90,90,1,240,35.0,True,1440,77.0,True,4320,,False,False
91,91,4,30,15.0,True,180,77.0,True,720,156.0,True,True
92,92,1,240,37.0,True,1440,91.0,True,4320,154.0,True,True
93,93,1,240,56.0,True,1440,230.0,True,4320,519.0,True,True
94,94,2,120,17.0,True,720,140.0,True,2880,374.0,True,True
95,95,4,30,7.0,True,180,101.0,True,720,193.0,True,True
96,96,3,60,7.0,True,360,158.0,True,1440,258.0,True,True
97,97,1,240,28.0,True,1440,345.0,True,4320,542.0,True,True
98,98,3,60,46.0,True,360,263.0,True,1440,382.0,True,True
99,99,4,30,20.0,True,180,113.0,True,720,180.0,True,True
100,100,1,240,5.0,True,1440,466.0,True,4320,792.0,True,True
101,101,2,120,23.0,True,720,108.0,True,2880,294.0,True,True
102,102,3,60,20.0,True,360,143.0,True,1440,295.0,True,True
103,103,2,120,16.0,True,720,100.0,True,2880,117.0,True,True
104,104,1,240,24.0,True,1440,69.0,True,4320,546.0,True,True
105,105,2,120,99.0,True,720,173.0,True,2880,438.0,True,True
106,106,1,240,74.0,True,1440,592.0,True,4320,666.0,True,True
107,107,3,60,25.0,True,360,148.0,True,1440,612.0,True,True
108,108,2,120,5.0,True,720,71.0,True,2880,668.0,True,True
109,109,1,240,24.0,True,1440,,False,4320,,False,False
110,110,4,30,6.0,True,180,89.0,True,720,128.0,True,True
111,111,1,240,39.0,True,1440,140.0,True,4320,548.0,True,True
112,112,2,120,30.0,True,720,127.0,True,2880,308.0,True,True
113,113,2,120,21.0,True,720,83.0,True,2880,167.0,True,True
114,114,1,240,38.0,True,1440,156.0,True,4320,285.0,True,True
115,115,4,30,14.0,True,180,65.0,True,720,216.0,True,True
116,116,2,120,18.0,True,720,106.0,True,2880,276.0,True,True
117,117,1,240,45.0,True,1440,82.0,True,4320,533.0,True,True
118,118,2,120,18.0,True,720,117.0,True,2880,399.0,True,True
119,119,1,240,36.0,True,1440,209.0,True,4320,361.0,True,True
120,120,4,30,48.0,False,180,135.0,True,720,770.0,False,False
121,121,4,30,43.0,False,180,116.0,True,720,189.0,True,False
122,122,1,240,23.0,True,1440,85.0,True,4320,265.0,True,True
123,123,5,15,12.0,True,60,34.0,True,240,133.0,True,True
124,124,1,240,7.0,True,1440,81.0,True,4320,791.0,True,True
125,125,4,30,49.0,False,180,285.0,False,720,402.0,True,False
126,126,2,120,15.0,True,720,117.0,True,2880,366.0,True,True
127,127,2,120,5.0,True,720,58.0,True,2880,,False,False
128,128,1,240,42.0,True,1440,313.0,True,4320,476.0,True,True
129,129,2,120,7.0,True,720,94.0,True,2880,177.0,True,True
130,130,4,30,9.0,True,180,61.0,True,720,195.0,True,True
131,131,2,120,36.0,True,720,105.0,True,2880,234.0,True,True
132,132,2,120,41.0,True,720,81.0,True,2880,357.0,True,True
133,133,2,120,13.0,True,720,60.0,True,2880,299.0,True,True
134,134,2,120,14.0,True,720,324.0,True,2880,393.0,True,True
135,135,1,240,20.0,True,1440,102.0,True,4320,269.0,True,True
136,136,4,30,10.0,True,180,110.0,True,720,138.0,True,True
137,137,1,240,11.0,True,1440,196.0,True,4320,1056.0,True,True
138,138,1,240,47.0,True,1440,155.0,True,4320,331.0,True,True
139,139,3,60,23.0,True,360,74.0,True,1440,508.0,True,True
140,140,2,120,9.0,True,720,34.0,True,2880,226.0,True,True
141,141,2,120,25.0,True,720,208.0,True,2880,251.0,True,True
142,142,1,240,17.0,True,1440,297.0,True,4320,466.0,True,True
143,143,3,60,48.0,True,360,145.0,True,1440,323.0,True,True
144,144,1,240,53.0,True,1440,149.0,True,4320,236.0,True,True
145,145,3,60,39.0,True,360,117.0,True,1440,,False,False
146,146,3,60,61.0,False,360,253.0,True,1440,420.0,True,False
147,147,1,240,26.0,True,1440,210.0,True,4320,970.0,True,True
148,148,2,120,7.0,True,720,122.0,True,2880,185.0,True,True
149,149,2,120,30.0,True,720,111.0,True,2880,153.0,True,True
150,150,4,30,15.0,True,180,83.0,True,720,654.0,True,True
151,151,1,240,114.0,True,1440,215.0,True,4320,331.0,True,True
152,152,1,240,33.0,True,1440,116.0,True,4320,215.0,True,True
153,153,2,120,25.0,True,720,126.0,True,2880,193.0,True,True
154,154,1,240,34.0,True,1440,107.0,True,4320,200.0,True,True
155,155,1,240,35.0,True,1440,110.0,True,4320,510.0,True,True
156,156,3,60,30.0,True,360,108.0,True,1440,559.0,True,True
157,157,3,60,31.0,True,360,49.0,True,1440,110.0,True,True
158,158,5,15,9.0,True,60,105.0,False,240,217.0,True,False
159,159,3,60,19.0,True,360,167.0,True,1440,761.0,True,True
160,160,1,240,27.0,True,1440,191.0,True,4320,1064.0,True,True
161,161,4,30,51.0,False,180,93.0,True,720,192.0,True,False
162,162,2,120,30.0,True,720,217.0,True,2880,256.0,True,True
163,163,4,30,9.0,True,180,44.0,True,720,221.0,True,True
164,164,2,120,27.0,True,720,96.0,True,2880,146.0,True,True
165,165,3,60,48.0,True,360,108.0,True,1440,277.0,True,True
166,166,1,240,24.0,True,1440,112.0,True,4320,447.0,True,True
167,167,3,60,40.0,True,360,,False,1440,,False,False
168,168,1,240,39.0,True,1440,125.0,True,4320,519.0,True,True
169,169,1,240,9.0,True,1440,279.0,True,4320,805.0,True,True
170,170,2,120,17.0,True,720,313.0,True,2880,398.0,True,True
171,171,5,15,19.0,False,60,93.0,False,240,241.0,False,False
172,172,4,30,9.0,True,180,220.0,False,720,645.0,True,False
173,173,1,240,72.0,True,1440,146.0,True,4320,335.0,True,True
174,174,3,60,30.0,True,360,255.0,True,1440,598.0,True,True
175,175,3,60,17.0,True,360,41.0,True,1440,102.0,True,True
176,176,1,240,13.0,True,1440,82.0,True,4320,156.0,True,True
177,177,1,240,15.0,True,1440,91.0,True,4320,224.0,True,True
178,178,2,120,32.0,True,720,140.0,True,2880,444.0,True,True
179,179,4,30,8.0,True,180,167.0,True,720,228.0,True,True
180,180,1,240,23.0,True,1440,62.0,True,4320,265.0,True,True
181,181,3,60,11.0,True,360,84.0,True,1440,210.0,True,True
182,182,1,240,21.0,True,1440,172.0,True,4320,371.0,True,True
183,183,4,30,12.0,True,180,95.0,True,720,190.0,True,True
184,184,1,240,27.0,True,1440,98.0,True,4320,806.0,True,True
185,185,2,120,43.0,True,720,123.0,True,2880,758.0,True,True
186,186,1,240,74.0,True,1440,386.0,True,4320,753.0,True,True
187,187,3,60,85.0,False,360,122.0,True,1440,180.0,True,False
188,188,4,30,37.0,False,180,102.0,True,720,358.0,True,False
189,189,1,240,13.0,True,1440,313.0,True,4320,550.0,True,True
190,190,1,240,25.0,True,1440,120.0,True,4320,393.0,True,True
191,191,3,60,102.0,False,360,184.0,True,1440,212.0,True,False
192,192,1,240,13.0,True,1440,306.0,True,4320,365.0,True,True
193,193,2,120,19.0,True,720,88.0,True,2880,159.0,True,True
194,194,2,120,12.0,True,720,154.0,True,2880,218.0,True,True
195,195,1,240,31.0,True,1440,164.0,True,4320,247.0,True,True
196,196,1,240,15.0,True,1440,134.0,True,4320,317.0,True,True
197,197,2,120,36.0,True,720,154.0,True,2880,234.0,True,True
198,198,3,60,34.0,True,360,60.0,True,1440,299.0,True,True
199,199,1,240,43.0,True,1440,168.0,True,4320,373.0,True,True
200,200,1,240,9.0,True,1440,88.0,True,4320,250.0,True,True
201,201,1,240,29.0,True,1440,237.0,True,4320,377.0,True,True
202,202,2,120,6.0,True,720,174.0,True,2880,1353.0,True,True
203,203,3,60,26.0,True,360,98.0,True,1440,191.0,True,True
204,204,1,240,19.0,True,1440,104.0,True,4320,153.0,True,True
205,205,4,30,18.0,True,180,108.0,True,720,146.0,True,True
206,206,2,120,12.0,True,720,109.0,True,2880,351.0,True,True
207,207,1,240,4.0,True,1440,166.0,True,4320,659.0,True,True
208,208,2,120,8.0,True,720,104.0,True,2880,219.0,True,True
209,209,5,15,7.0,True,60,,False,240,,False,False
210,210,1,240,19.0,True,1440,257.0,True,4320,988.0,True,True
211,211,1,240,24.0,True,1440,122.0,True,4320,357.0,True,True
212,212,2,120,13.0,True,720,109.0,True,2880,213.0,True,True
213,213,3,60,20.0,True,360,170.0,True,1440,231.0,True,True
214,214,3,60,55.0,True,360,112.0,True,1440,419.0,True,True
215,215,2,120,7.0,True,720,78.0,True,2880,299.0,True,True
216,216,2,120,14.0,True,720,121.0,True,2880,242.0,True,True
217,217,4,30,11.0,True,180,68.0,True,720,652.0,True,True
218,218,4,30,4.0,True,180,130.0,True,720,201.0,True,True
219,219,1,240,16.0,True,1440,261.0,True,4320,668.0,True,True
220,220,1,240,57.0,True,1440,500.0,True,4320,1184.0,True,True
221,221,2,120,23.0,True,720,91.0,True,2880,147.0,True,True
222,222,1,240,21.0,True,1440,111.0,True,4320,709.0,True,True
223,223,3,60,17.0,True,360,51.0,True,1440,894.0,True,True
224,224,1,240,10.0,True,1440,311.0,True,4320,413.0,True,True
225,225,2,120,22.0,True,720,180.0,True,2880,364.0,True,True
226,226,2,120,57.0,True,720,117.0,True,2880,180.0,True,True
227,227,3,60,2.0,True,360,140.0,True,1440,244.0,True,True
228,228,3,60,19.0,True,360,75.0,True,1440,1347.0,True,True
229,229,2,120,16.0,True,720,,False,2880,,False,False
230,230,2,120,17.0,True,720,141.0,True,2880,367.0,True,True
231,231,1,240,35.0,True,1440,213.0,True,4320,425.0,True,True
232,232,2,120,10.0,True,720,38.0,True,2880,537.0,True,True
233,233,3,60,6.0,True,360,143.0,True,1440,391.0,True,True
234,234,2,120,20.0,True,720,137.0,True,2880,402.0,True,True
235,235,2,120,17.0,True,720,75.0,True,2880,246.0,True,True
236,236,1,240,30.0,True,1440,201.0,True,4320,597.0,True,True
237,237,1,240,4.0,True,1440,73.0,True,4320,251.0,True,True
238,238,2,120,6.0,True,720,122.0,True,2880,2242.0,True,True
239,239,1,240,21.0,True,1440,216.0,True,4320,338.0,True,True
240,240,2,120,7.0,True,720,125.0,True,2880,169.0,True,True
241,241,1,240,13.0,True,1440,93.0,True,4320,216.0,True,True
242,242,3,60,9.0,True,360,210.0,True,1440,297.0,True,True
243,243,1,240,18.0,True,1440,,False,4320,,False,False
244,244,1,240,113.0,True,1440,164.0,True,4320,3880.0,True,True
245,245,2,120,12.0,True,720,142.0,True,2880,386.0,True,True
246,246,2,120,38.0,True,720,129.0,True,2880,326.0,True,True
247,247,1,240,45.0,True,1440,214.0,True,4320,311.0,True,True
248,248,4,30,47.0,False,180,172.0,True,720,432.0,True,False
249,249,1,240,24.0,True,1440,162.0,True,4320,302.0,True,True
250,250,1,240,22.0,True,1440,185.0,True,4320,469.0,True,True
251,251,1,240,6.0,True,1440,69.0,True,4320,215.0,True,True
252,252,1,240,7.0,True,1440,81.0,True,4320,149.0,True,True
253,253,2,120,52.0,True,720,336.0,True,2880,622.0,True,True
254,254,2,120,6.0,True,720,47.0,True,2880,,False,False
255,255,1,240,40.0,True,1440,116.0,True,4320,218.0,True,True
256,256,1,240,39.0,True,1440,79.0,True,4320,1537.0,True,True
257,257,3,60,28.0,True,360,146.0,True,1440,366.0,True,True
258,258,2,120,76.0,True,720,120.0,True,2880,302.0,True,True
259,259,4,30,39.0,False,180,260.0,False,720,486.0,True,False
260,260,3,60,17.0,True,360,162.0,True,1440,191.0,True,True
261,261,3,60,31.0,True,360,101.0,True,1440,190.0,True,True
262,262,4,30,7.0,True,180,53.0,True,720,90.0,True,True
263,263,1,240,104.0,True,1440,250.0,True,4320,360.0,True,True
264,264,2,120,39.0,True,720,108.0,True,2880,401.0,True,True
265,265,3,60,10.0,True,360,76.0,True,1440,135.0,True,True
266,266,1,240,16.0,True,1440,393.0,True,4320,1139.0,True,True
267,267,2,120,40.0,True,720,237.0,True,2880,297.0,True,True
268,268,1,240,24.0,True,1440,137.0,True,4320,1045.0,True,True
269,269,2,120,9.0,True,720,100.0,True,2880,274.0,True,True
270,270,3,60,12.0,True,360,38.0,True,1440,245.0,True,True
271,271,1,240,14.0,True,1440,251.0,True,4320,390.0,True,True
272,272,3,60,5.0,True,360,208.0,True,1440,594.0,True,True
273,273,1,240,6.0,True,1440,283.0,True,4320,350.0,True,True
274,274,1,240,19.0,True,1440,238.0,True,4320,438.0,True,True
275,275,2,120,14.0,True,720,74.0,True,2880,289.0,True,True
276,276,1,240,15.0,True,1440,64.0,True,4320,808.0,True,True
277,277,1,240,53.0,True,1440,89.0,True,4320,310.0,True,True
278,278,2,120,50.0,True,720,123.0,True,2880,175.0,True,True
279,279,1,240,71.0,True,1440,363.0,True,4320,521.0,True,True
280,280,2,120,48.0,True,720,215.0,True,2880,1322.0,True,True
281,281,1,240,34.0,True,1440,142.0,True,4320,285.0,True,True
282,282,1,240,15.0,True,1440,80.0,True,4320,239.0,True,True
283,283,1,240,14.0,True,1440,157.0,True,4320,369.0,True,True
284,284,1,240,4.0,True,1440,162.0,True,4320,386.0,True,True
285,285,2,120,,False,720,,False,2880,,False,False
286,286,2,120,44.0,True,720,135.0,True,2880,,False,False
287,287,1,240,172.0,True,1440,223.0,True,4320,532.0,True,True
288,288,2,120,15.0,True,720,67.0,True,2880,184.0,True,True
289,289,4,30,33.0,False,180,61.0,True,720,136.0,True,False
290,290,1,240,99.0,True,1440,191.0,True,4320,2300.0,True,True
291,291,3,60,88.0,False,360,228.0,True,1440,345.0,True,False
292,292,4,30,33.0,False,180,111.0,True,720,195.0,True,False
293,293,2,120,9.0,True,720,65.0,True,2880,293.0,True,True
294,294,5,15,18.0,False,60,52.0,True,240,213.0,True,False
295,295,3,60,19.0,True,360,80.0,True,1440,153.0,True,True
296,296,1,240,45.0,True,1440,147.0,True,4320,556.0,True,True
297,297,1,240,20.0,True,1440,363.0,True,4320,504.0,True,True
298,298,2,120,48.0,True,720,99.0,True,2880,264.0,True,True
299,299,3,60,20.0,True,360,111.0,True,1440,210.0,True,True
300,300,2,120,34.0,True,720,178.0,True,2880,288.0,True,True
301,301,3,60,4.0,True,360,84.0,True,1440,324.0,True,True
302,302,1,240,31.0,True,1440,107.0,True,4320,2067.0,True,True
303,303,2,120,47.0,True,720,103.0,True,2880,352.0,True,True
304,304,1,240,38.0,True,1440,147.0,True,4320,253.0,True,True
305,305,1,240,13.0,True,1440,103.0,True,4320,223.0,True,True
306,306,2,120,12.0,True,720,121.0,True,2880,558.0,True,True
307,307,2,120,72.0,True,720,275.0,True,2880,418.0,True,True
308,308,1,240,12.0,True,1440,339.0,True,4320,631.0,True,True
309,309,1,240,91.0,True,1440,157.0,True,4320,411.0,True,True
310,310,1,240,20.0,True,1440,306.0,True,4320,430.0,True,True
311,311,4,30,9.0,True,180,107.0,True,720,185.0,True,True
312,312,2,120,12.0,True,720,95.0,True,2880,165.0,True,True
313,313,1,240,65.0,True,1440,182.0,True,4320,733.0,True,True
314,314,2,120,11.0,True,720,207.0,True,2880,713.0,True,True
315,315,1,240,13.0,True,1440,80.0,True,4320,323.0,True,True
316,316,2,120,44.0,True,720,103.0,True,2880,174.0,True,True
317,317,3,60,17.0,True,360,227.0,True,1440,289.0,True,True
318,318,2,120,15.0,True,720,154.0,True,2880,367.0,True,True
319,319,2,120,42.0,True,720,155.0,True,2880,497.0,True,True
320,320,2,120,7.0,True,720,61.0,True,2880,410.0,True,True
321,321,2,120,21.0,True,720,,False,2880,,False,False
322,322,4,30,2.0,True,180,170.0,True,720,237.0,True,True
323,323,1,240,56.0,True,1440,126.0,True,4320,440.0,True,True
324,324,1,240,68.0,True,1440,130.0,True,4320,195.0,True,True
325,325,3,60,21.0,True,360,146.0,True,1440,243.0,True,True
326,326,3,60,28.0,True,360,113.0,True,1440,261.0,True,True
327,327,5,15,6.0,True,60,59.0,True,240,624.0,False,False
328,328,2,120,34.0,True,720,104.0,True,2880,301.0,True,True
329,329,1,240,47.0,True,1440,345.0,True,4320,549.0,True,True
330,330,1,240,14.0,True,1440,179.0,True,4320,408.0,True,True
331,331,3,60,6.0,True,360,45.0,True,1440,676.0,True,True
332,332,1,240,12.0,True,1440,77.0,True,4320,98.0,True,True
333,333,3,60,8.0,True,360,134.0,True,1440,328.0,True,True
334,334,2,120,36.0,True,720,104.0,True,2880,302.0,True,True
335,335,1,240,116.0,True,1440,281.0,True,4320,679.0,True,True
336,336,2,120,9.0,True,720,125.0,True,2880,,False,False
337,337,1,240,88.0,True,1440,147.0,True,4320,288.0,True,True
338,338,2,120,82.0,True,720,130.0,True,2880,186.0,True,True
339,339,2,120,7.0,True,720,87.0,True,2880,633.0,True,True
340,340,4,30,42.0,False,180,200.0,False,720,405.0,True,False
341,341,2,120,19.0,True,720,263.0,True,2880,351.0,True,True
342,342,1,240,46.0,True,1440,269.0,True,4320,507.0,True,True
343,343,4,30,10.0,True,180,122.0,True,720,288.0,True,True
344,344,2,120,83.0,True,720,260.0,True,2880,324.0,True,True
345,345,4,30,3.0,True,180,51.0,True,720,153.0,True,True
346,346,2,120,10.0,True,720,,False,2880,,False,False
347,347,1,240,70.0,True,1440,105.0,True,4320,129.0,True,True
348,348,3,60,46.0,True,360,158.0,True,1440,217.0,True,True
349,349,4,30,12.0,True,180,57.0,True,720,238.0,True,True
350,350,2,120,46.0,True,720,125.0,True,2880,337.0,True,True
351,351,4,30,13.0,True,180,71.0,True,720,380.0,True,True
352,352,1,240,36.0,True,1440,205.0,True,4320,791.0,True,True
353,353,1,240,38.0,True,1440,151.0,True,4320,223.0,True,True
354,354,1,240,36.0,True,1440,160.0,True,4320,296.0,True,True
355,355,2,120,16.0,True,720,183.0,True,2880,372.0,True,True
356,356,2,120,25.0,True,720,59.0,True,2880,152.0,True,True
357,357,1,240,43.0,True,1440,471.0,True,4320,556.0,True,True
358,358,1,240,,False,1440,,False,4320,,False,False
359,359,2,120,63.0,True,720,,False,2880,,False,False
360,360,1,240,14.0,True,1440,,False,4320,,False,False
361,361,2,120,65.0,True,720,108.0,True,2880,403.0,True,True
362,362,1,240,40.0,True,1440,223.0,True,4320,618.0,True,True
363,363,3,60,22.0,True,360,147.0,True,1440,321.0,True,True
364,364,1,240,25.0,True,1440,,False,4320,,False,False
365,365,1,240,25.0,True,1440,77.0,True,4320,179.0,True,True
366,366,3,60,8.0,True,360,192.0,True,1440,347.0,True,True
367,367,4,30,10.0,True,180,218.0,False,720,277.0,True,False
368,368,4,30,11.0,True,180,,False,720,,False,False
369,369,4,30,29.0,True,180,101.0,True,720,205.0,True,True
370,370,2,120,24.0,True,720,92.0,True,2880,1446.0,True,True
371,371,1,240,34.0,True,1440,108.0,True,4320,344.0,True,True
372,372,2,120,14.0,True,720,78.0,True,2880,183.0,True,True
373,373,2,120,7.0,True,720,216.0,True,2880,340.0,True,True
374,374,4,30,26.0,True,180,92.0,True,720,370.0,True,True
375,375,3,60,14.0,True,360,154.0,True,1440,466.0,True,True
376,376,4,30,30.0,True,180,116.0,True,720,267.0,True,True
377,377,1,240,33.0,True,1440,330.0,True,4320,831.0,True,True
378,378,5,15,6.0,True,60,,False,240,,False,False
379,379,3,60,32.0,True,360,114.0,True,1440,217.0,True,True
380,380,2,120,84.0,True,720,138.0,True,2880,490.0,True,True
381,381,1,240,83.0,True,1440,188.0,True,4320,230.0,True,True
382,382,2,120,21.0,True,720,92.0,True,2880,187.0,True,True
383,383,2,120,13.0,True,720,100.0,True,2880,301.0,True,True
384,384,3,60,3.0,True,360,80.0,True,1440,148.0,True,True
385,385,1,240,51.0,True,1440,223.0,True,4320,762.0,True,True
386,386,1,240,16.0,True,1440,66.0,True,4320,213.0,True,True
387,387,3,60,28.0,True,360,105.0,True,1440,399.0,True,True
388,388,1,240,8.0,True,1440,141.0,True,4320,271.0,True,True
389,389,1,240,35.0,True,1440,238.0,True,4320,875.0,True,True
390,390,1,240,20.0,True,1440,109.0,True,4320,584.0,True,True
391,391,3,60,12.0,True,360,78.0,True,1440,156.0,True,True
392,392,2,120,18.0,True,720,303.0,True,2880,659.0,True,True
393,393,2,120,8.0,True,720,174.0,True,2880,1006.0,True,True
394,394,1,240,16.0,True,1440,247.0,True,4320,594.0,True,True
395,395,5,15,16.0,False,60,98.0,False,240,519.0,False,False
396,396,2,120,16.0,True,720,117.0,True,2880,452.0,True,True
397,397,1,240,30.0,True,1440,339.0,True,4320,1785.0,True,True
398,398,3,60,2.0,True,360,54.0,True,1440,138.0,True,True
399,399,2,120,3.0,True,720,414.0,True,2880,580.0,True,True
400,400,2,120,65.0,True,720,202.0,True,2880,358.0,True,True
401,401,2,120,15.0,True,720,230.0,True,2880,323.0,True,True
402,402,1,240,44.0,True,1440,224.0,True,4320,445.0,True,True
403,403,4,30,32.0,False,180,122.0,True,720,580.0,True,False
404,404,4,30,6.0,True,180,209.0,False,720,348.0,True,False
405,405,2,120,59.0,True,720,227.0,True,2880,465.0,True,True
406,406,4,30,10.0,True,180,38.0,True,720,685.0,True,True
407,407,2,120,5.0,True,720,163.0,True,2880,250.0,True,True
408,408,1,240,51.0,True,1440,228.0,True,4320,387.0,True,True
409,409,2,120,26.0,True,720,247.0,True,2880,452.0,True,True
410,410,1,240,19.0,True,1440,199.0,True,4320,490.0,True,True
411,411,3,60,6.0,True,360,75.0,True,1440,268.0,True,True
412,412,2,120,19.0,True,720,98.0,True,2880,378.0,True,True
413,413,3,60,13.0,True,360,122.0,True,1440,246.0,True,True
414,414,2,120,13.0,True,720,88.0,True,2880,209.0,True,True
415,415,4,30,11.0,True,180,60.0,True,720,109.0,True,True
416,416,1,240,17.0,True,1440,129.0,True,4320,268.0,True,True
417,417,4,30,4.0,True,180,151.0,True,720,403.0,True,True
