AlertKey,AlertId,EventId,DetectedAtUTC,AlertDateKey,AlertTimeKey,SourceProductKey,AssetKey,DetectionRuleKey,SeverityKey,AlertCount,DetectionMinutes,IsFalsePositive,BecameIncident,DataClassification
54,ALT-00000054,EVT-00070111,2025-11-20T12:00:46Z,20251120,1200,4,118,42,1,1,1.0,False,False,SYNTHETIC_DEMO_DATA
55,ALT-00000055,EVT-00078076,2025-09-05T07:54:01Z,20250905,750,2,133,20,4,1,22.0,False,False,SYNTHETIC_DEMO_DATA
56,ALT-00000056,EVT-00086041,2025-05-21T14:59:30Z,20250521,1455,3,78,39,4,1,11.0,False,False,SYNTHETIC_DEMO_DATA
57,ALT-00000057,EVT-00094006,2025-11-19T17:12:47Z,20251119,1710,1,131,28,3,1,3.0,False,False,SYNTHETIC_DEMO_DATA
58,ALT-00000058,EVT-00101971,2025-07-21T22:24:01Z,20250721,2220,3,173,41,1,1,10.0,True,False,SYNTHETIC_DEMO_DATA
59,ALT-00000059,EVT-00109936,2026-01-27T15:37:20Z,20260127,1535,3,105,44,1,1,15.0,False,False,SYNTHETIC_DEMO_DATA
60,ALT-00000060,EVT-00117901,2026-06-22T15:11:36Z,20260622,1510,5,15,23,4,1,7.0,True,False,SYNTHETIC_DEMO_DATA
61,ALT-00000061,EVT-00005865,2026-06-27T15:53:42Z,20260627,1550,1,59,7,5,1,9.0,True,False,SYNTHETIC_DEMO_DATA
62,ALT-00000062,EVT-00013830,2025-06-14T22:47:42Z,20250614,2245,6,131,18,2,1,13.0,False,False,SYNTHETIC_DEMO_DATA
63,ALT-00000063,EVT-00021795,2026-03-09T10:41:53Z,20260309,1040,3,129,26,1,1,10.0,True,False,SYNTHETIC_DEMO_DATA
64,ALT-00000064,EVT-00029761,2025-02-23T12:15:06Z,20250223,1215,6,16,26,2,1,75.0,False,False,SYNTHETIC_DEMO_DATA
65,ALT-00000065,EVT-00037726,2025-10-19T16:06:53Z,20251019,1605,3,2,41,3,1,10.0,False,False,SYNTHETIC_DEMO_DATA
66,ALT-00000066,EVT-00045691,2026-04-11T12:28:26Z,20260411,1225,1,134,9,4,1,29.0,True,False,SYNTHETIC_DEMO_DATA
67,ALT-00000067,EVT-00053656,2026-04-22T19:00:58Z,20260422,1900,2,80,33,3,1,12.0,True,False,SYNTHETIC_DEMO_DATA
68,ALT-00000068,EVT-00061621,2025-05-22T10:40:05Z,20250522,1040,5,138,5,5,1,8.0,True,False,SYNTHETIC_DEMO_DATA
69,ALT-00000069,EVT-00069586,2025-09-07T16:46:58Z,20250907,1645,4,20,11,2,1,8.0,True,False,SYNTHETIC_DEMO_DATA
70,ALT-00000070,EVT-00077551,2025-03-18T10:22:30Z,20250318,1020,2,70,15,4,1,5.0,True,False,SYNTHETIC_DEMO_DATA
71,ALT-00000071,EVT-00085516,2025-07-03T10:56:44Z,20250703,1055,1,31,43,2,1,6.0,True,False,SYNTHETIC_DEMO_DATA
72,ALT-00000072,EVT-00093481,2025-09-12T17:37:14Z,20250912,1735,1,173,10,1,1,7.0,False,False,SYNTHETIC_DEMO_DATA
73,ALT-00000073,EVT-00101446,2026-01-13T21:41:32Z,20260113,2140,4,2,25,2,1,17.0,False,False,SYNTHETIC_DEMO_DATA
74,ALT-00000074,EVT-00109411,2025-02-07T18:25:13Z,20250207,1825,7,70,11,3,1,13.0,True,False,SYNTHETIC_DEMO_DATA
75,ALT-00000075,EVT-00117376,2026-07-20T03:33:27Z,20260720,330,5,188,9,3,1,21.0,False,False,SYNTHETIC_DEMO_DATA
76,ALT-00000076,EVT-00005340,2026-02-04T00:26:56Z,20260204,25,2,38,35,3,1,18.0,False,False,SYNTHETIC_DEMO_DATA
77,ALT-00000077,EVT-00013305,2026-05-27T23:03:43Z,20260527,2300,6,200,13,1,1,17.0,True,False,SYNTHETIC_DEMO_DATA
78,ALT-00000078,EVT-00021270,2025-02-01T18:03:23Z,20250201,1800,3,145,25,2,1,15.0,True,False,SYNTHETIC_DEMO_DATA
79,ALT-00000079,EVT-00029235,2025-07-15T11:19:39Z,20250715,1115,7,99,22,1,1,4.0,False,False,SYNTHETIC_DEMO_DATA
80,ALT-00000080,EVT-00037201,2025-05-15T10:06:42Z,20250515,1005,4,220,42,3,1,8.0,True,False,SYNTHETIC_DEMO_DATA
81,ALT-00000081,EVT-00045166,2025-02-21T16:13:56Z,20250221,1610,2,232,4,3,1,14.0,False,False,SYNTHETIC_DEMO_DATA
82,ALT-00000082,EVT-00053131,2025-10-28T02:26:51Z,20251028,225,7,151,37,1,1,11.0,True,True,SYNTHETIC_DEMO_DATA
83,ALT-00000083,EVT-00061096,2026-01-23T16:10:48Z,20260123,1610,3,98,6,1,1,38.0,False,True,SYNTHETIC_DEMO_DATA
84,ALT-00000084,EVT-00069061,2025-07-17T11:27:40Z,20250717,1125,2,217,37,1,1,10.0,True,False,SYNTHETIC_DEMO_DATA
85,ALT-00000085,EVT-00077026,2026-04-03T17:17:28Z,20260403,1715,7,8,18,1,1,38.0,True,True,SYNTHETIC_DEMO_DATA
86,ALT-00000086,EVT-00084991,2025-07-14T16:48:12Z,20250714,1645,3,145,12,1,1,6.0,False,False,SYNTHETIC_DEMO_DATA
87,ALT-00000087,EVT-00092956,2025-07-28T07:55:56Z,20250728,755,7,232,14,2,1,7.0,False,False,SYNTHETIC_DEMO_DATA
88,ALT-00000088,EVT-00100921,2025-06-25T12:26:37Z,20250625,1225,6,68,40,1,1,30.0,True,False,SYNTHETIC_DEMO_DATA
89,ALT-00000089,EVT-00108886,2026-01-01T14:38:55Z,20260101,1435,6,236,31,1,1,5.0,True,False,SYNTHETIC_DEMO_DATA
90,ALT-00000090,EVT-00116851,2025-06-30T11:34:35Z,20250630,1130,7,94,23,1,1,19.0,False,False,SYNTHETIC_DEMO_DATA
91,ALT-00000091,EVT-00004815,2025-12-13T12:26:45Z,20251213,1225,5,48,11,4,1,10.0,True,False,SYNTHETIC_DEMO_DATA
92,ALT-00000092,EVT-00012780,2025-07-13T10:27:18Z,20250713,1025,3,142,22,3,1,9.0,True,False,SYNTHETIC_DEMO_DATA
93,ALT-00000093,EVT-00020745,2026-07-24T06:43:43Z,20260724,640,3,166,36,5,1,17.0,True,False,SYNTHETIC_DEMO_DATA
94,ALT-00000094,EVT-00028710,2025-05-02T21:35:31Z,20250502,2135,5,138,39,1,1,4.0,False,False,SYNTHETIC_DEMO_DATA
95,ALT-00000095,EVT-00036675,2025-03-06T17:15:48Z,20250306,1715,3,120,41,3,1,6.0,True,False,SYNTHETIC_DEMO_DATA
96,ALT-00000096,EVT-00044641,2025-03-02T15:19:17Z,20250302,1515,3,45,6,1,1,6.0,True,False,SYNTHETIC_DEMO_DATA
97,ALT-00000097,EVT-00052606,2026-01-28T07:18:05Z,20260128,715,6,175,14,3,1,19.0,False,False,SYNTHETIC_DEMO_DATA
98,ALT-00000098,EVT-00060571,2026-03-25T12:31:22Z,20260325,1230,3,194,36,2,1,5.0,False,False,SYNTHETIC_DEMO_DATA
99,ALT-00000099,EVT-00068536,2026-02-18T16:15:43Z,20260218,1615,2,46,35,1,1,2.0,False,False,SYNTHETIC_DEMO_DATA
100,ALT-00000100,EVT-00076501,2025-10-22T18:18:14Z,20251022,1815,1,170,24,1,1,7.0,False,False,SYNTHETIC_DEMO_DATA
101,ALT-00000101,EVT-00084466,2026-05-30T19:31:08Z,20260530,1930,6,46,14,5,1,5.0,False,False,SYNTHETIC_DEMO_DATA
102,ALT-00000102,EVT-00092431,2025-07-17T03:37:17Z,20250717,335,6,191,7,3,1,16.0,False,False,SYNTHETIC_DEMO_DATA
103,ALT-00000103,EVT-00100396,2025-07-04T07:52:25Z,20250704,750,1,185,33,2,1,11.0,False,False,SYNTHETIC_DEMO_DATA
104,ALT-00000104,EVT-00108361,2025-03-28T05:25:42Z,20250328,525,3,18,42,5,1,12.0,False,False,SYNTHETIC_DEMO_DATA
105,ALT-00000105,EVT-00116326,2025-12-17T09:05:11Z,20251217,905,2,1,26,3,1,29.0,True,True,SYNTHETIC_DEMO_DATA
106,ALT-00000106,EVT-00004290,2025-07-27T16:01:30Z,20250727,1600,4,71,6,2,1,23.0,False,False,SYNTHETIC_DEMO_DATA
107,ALT-00000107,EVT-00012255,2025-09-03T16:58:54Z,20250903,1655,3,227,24,2,1,7.0,False,False,SYNTHETIC_DEMO_DATA
108,ALT-00000108,EVT-00020220,2026-07-01T09:39:03Z,20260701,935,6,239,41,1,1,19.0,True,True,SYNTHETIC_DEMO_DATA
109,ALT-00000109,EVT-00028185,2025-12-26T17:29:51Z,20251226,1725,1,208,8,1,1,5.0,True,False,SYNTHETIC_DEMO_DATA
110,ALT-00000110,EVT-00036150,2025-07-01T09:20:33Z,20250701,920,6,239,25,1,1,27.0,True,False,SYNTHETIC_DEMO_DATA
111,ALT-00000111,EVT-00044116,2026-07-09T15:15:23Z,20260709,1515,6,217,6,3,1,7.0,False,False,SYNTHETIC_DEMO_DATA
112,ALT-00000112,EVT-00052081,2025-03-13T08:41:29Z,20250313,840,5,213,15,2,1,10.0,False,False,SYNTHETIC_DEMO_DATA
113,ALT-00000113,EVT-00060046,2025-08-02T00:14:53Z,20250802,10,5,78,21,1,1,40.0,False,False,SYNTHETIC_DEMO_DATA
114,ALT-00000114,EVT-00068011,2025-08-30T17:31:19Z,20250830,1730,6,21,42,3,1,5.0,False,False,SYNTHETIC_DEMO_DATA
115,ALT-00000115,EVT-00075976,2025-10-26T17:30:15Z,20251026,1730,3,127,35,1,1,13.0,True,False,SYNTHETIC_DEMO_DATA
116,ALT-00000116,EVT-00083941,2025-12-08T14:14:20Z,20251208,1410,3,190,21,5,1,4.0,False,False,SYNTHETIC_DEMO_DATA
117,ALT-00000117,EVT-00091906,2026-02-10T14:31:00Z,20260210,1430,3,156,42,4,1,2.0,True,False,SYNTHETIC_DEMO_DATA
118,ALT-00000118,EVT-00099871,2025-08-12T11:43:37Z,20250812,1140,7,92,18,2,1,5.0,False,False,SYNTHETIC_DEMO_DATA
119,ALT-00000119,EVT-00107836,2025-02-20T15:01:48Z,20250220,1500,4,77,30,2,1,8.0,True,True,SYNTHETIC_DEMO_DATA
120,ALT-00000120,EVT-00115801,2025-08-13T16:43:25Z,20250813,1640,2,131,23,1,1,29.0,True,False,SYNTHETIC_DEMO_DATA
121,ALT-00000121,EVT-00003765,2025-04-02T13:50:05Z,20250402,1350,2,59,5,1,1,28.0,False,False,SYNTHETIC_DEMO_DATA
122,ALT-00000122,EVT-00011730,2025-10-24T08:15:55Z,20251024,815,2,159,11,2,1,6.0,True,False,SYNTHETIC_DEMO_DATA
123,ALT-00000123,EVT-00019695,2025-03-14T14:55:12Z,20250314,1455,2,211,4,1,1,11.0,True,False,SYNTHETIC_DEMO_DATA
124,ALT-00000124,EVT-00027660,2025-05-31T18:12:04Z,20250531,1810,3,50,15,1,1,29.0,True,False,SYNTHETIC_DEMO_DATA
125,ALT-00000125,EVT-00035625,2025-02-15T16:04:48Z,20250215,1600,1,107,15,3,1,16.0,True,False,SYNTHETIC_DEMO_DATA
126,ALT-00000126,EVT-00043590,2025-04-03T10:18:31Z,20250403,1015,3,106,18,4,1,15.0,True,False,SYNTHETIC_DEMO_DATA
127,ALT-00000127,EVT-00051556,2025-02-06T20:55:08Z,20250206,2055,6,189,43,3,1,10.0,True,False,SYNTHETIC_DEMO_DATA
128,ALT-00000128,EVT-00059521,2025-03-16T15:09:29Z,20250316,1505,5,99,5,3,1,9.0,False,False,SYNTHETIC_DEMO_DATA
129,ALT-00000129,EVT-00067486,2025-09-22T14:27:53Z,20250922,1425,7,98,42,3,1,16.0,True,False,SYNTHETIC_DEMO_DATA
130,ALT-00000130,EVT-00075451,2025-04-28T07:44:13Z,20250428,740,3,191,2,2,1,15.0,True,False,SYNTHETIC_DEMO_DATA
131,ALT-00000131,EVT-00083416,2026-01-29T10:37:12Z,20260129,1035,4,47,6,2,1,12.0,False,False,SYNTHETIC_DEMO_DATA
132,ALT-00000132,EVT-00091381,2025-07-13T09:55:24Z,20250713,955,6,32,36,3,1,35.0,False,False,SYNTHETIC_DEMO_DATA
133,ALT-00000133,EVT-00099346,2025-03-18T17:53:23Z,20250318,1750,6,66,44,2,1,11.0,True,False,SYNTHETIC_DEMO_DATA
134,ALT-00000134,EVT-00107311,2025-06-29T14:41:56Z,20250629,1440,2,56,6,3,1,6.0,False,False,SYNTHETIC_DEMO_DATA
135,ALT-00000135,EVT-00115276,2025-11-20T01:57:01Z,20251120,155,7,82,5,1,1,8.0,False,False,SYNTHETIC_DEMO_DATA
136,ALT-00000136,EVT-00003240,2026-06-18T19:04:28Z,20260618,1900,6,158,14,4,1,5.0,False,False,SYNTHETIC_DEMO_DATA
137,ALT-00000137,EVT-00011205,2026-04-06T17:25:08Z,20260406,1725,1,94,17,1,1,2.0,False,False,SYNTHETIC_DEMO_DATA
138,ALT-00000138,EVT-00019170,2025-12-29T16:02:36Z,20251229,1600,2,156,35,1,1,9.0,False,False,SYNTHETIC_DEMO_DATA
139,ALT-00000139,EVT-00027135,2025-11-13T16:10:44Z,20251113,1610,2,174,6,1,1,9.0,False,False,SYNTHETIC_DEMO_DATA
140,ALT-00000140,EVT-00035100,2025-02-07T12:42:57Z,20250207,1240,6,105,10,2,1,11.0,True,False,SYNTHETIC_DEMO_DATA
141,ALT-00000141,EVT-00043065,2026-07-11T16:23:39Z,20260711,1620,6,19,35,4,1,19.0,False,False,SYNTHETIC_DEMO_DATA
142,ALT-00000142,EVT-00051030,2025-08-21T11:13:39Z,20250821,1110,2,8,11,3,1,4.0,False,False,SYNTHETIC_DEMO_DATA
143,ALT-00000143,EVT-00058996,2025-02-09T16:07:28Z,20250209,1605,6,131,39,1,1,3.0,True,True,SYNTHETIC_DEMO_DATA
144,ALT-00000144,EVT-00066961,2025-03-31T02:29:56Z,20250331,225,6,177,4,3,1,11.0,True,False,SYNTHETIC_DEMO_DATA
145,ALT-00000145,EVT-00074926,2025-03-25T12:59:07Z,20250325,1255,1,161,39,3,1,12.0,True,False,SYNTHETIC_DEMO_DATA
146,ALT-00000146,EVT-00082891,2026-03-15T15:27:42Z,20260315,1525,2,52,44,1,1,5.0,False,False,SYNTHETIC_DEMO_DATA
147,ALT-00000147,EVT-00090856,2025-08-10T21:15:11Z,20250810,2115,2,74,11,3,1,9.0,False,False,SYNTHETIC_DEMO_DATA
148,ALT-00000148,EVT-00098821,2026-01-10T10:12:29Z,20260110,1010,5,213,41,1,1,15.0,True,False,SYNTHETIC_DEMO_DATA
149,ALT-00000149,EVT-00106786,2025-06-27T23:29:13Z,20250627,2325,3,184,40,1,1,7.0,False,False,SYNTHETIC_DEMO_DATA
150,ALT-00000150,EVT-00114751,2026-03-04T13:47:30Z,20260304,1345,3,62,28,2,1,10.0,True,False,SYNTHETIC_DEMO_DATA
151,ALT-00000151,EVT-00002715,2025-02-08T14:42:40Z,20250208,1440,1,188,3,2,1,14.0,True,False,SYNTHETIC_DEMO_DATA
152,ALT-00000152,EVT-00010680,2025-05-06T13:27:12Z,20250506,1325,7,146,5,3,1,49.0,True,False,SYNTHETIC_DEMO_DATA
153,ALT-00000153,EVT-00018645,2025-04-25T09:09:01Z,20250425,905,1,213,32,1,1,2.0,False,False,SYNTHETIC_DEMO_DATA
154,ALT-00000154,EVT-00026610,2025-12-24T14:45:01Z,20251224,1445,4,184,11,1,1,16.0,True,False,SYNTHETIC_DEMO_DATA
155,ALT-00000155,EVT-00034575,2025-12-13T18:03:13Z,20251213,1800,2,77,11,1,1,12.0,True,True,SYNTHETIC_DEMO_DATA
156,ALT-00000156,EVT-00042540,2026-05-16T04:26:00Z,20260516,425,2,239,17,1,1,11.0,False,True,SYNTHETIC_DEMO_DATA
157,ALT-00000157,EVT-00050505,2026-03-15T11:34:53Z,20260315,1130,3,221,1,2,1,5.0,False,False,SYNTHETIC_DEMO_DATA
158,ALT-00000158,EVT-00058470,2025-08-03T11:59:37Z,20250803,1155,4,224,13,2,1,3.0,True,False,SYNTHETIC_DEMO_DATA
159,ALT-00000159,EVT-00066436,2025-02-15T08:08:43Z,20250215,805,3,110,44,2,1,20.0,True,False,SYNTHETIC_DEMO_DATA
160,ALT-00000160,EVT-00074401,2025-08-24T09:22:57Z,20250824,920,7,219,24,1,1,2.0,True,False,SYNTHETIC_DEMO_DATA
161,ALT-00000161,EVT-00082366,2025-11-07T10:04:01Z,20251107,1000,1,54,45,5,1,17.0,False,False,SYNTHETIC_DEMO_DATA
162,ALT-00000162,EVT-00090331,2026-07-07T15:56:32Z,20260707,1555,6,86,1,2,1,4.0,False,False,SYNTHETIC_DEMO_DATA
163,ALT-00000163,EVT-00098296,2025-02-09T13:27:36Z,20250209,1325,4,84,14,4,1,2.0,False,False,SYNTHETIC_DEMO_DATA
164,ALT-00000164,EVT-00106261,2026-01-31T02:16:22Z,20260131,215,6,141,41,1,1,10.0,True,False,SYNTHETIC_DEMO_DATA
165,ALT-00000165,EVT-00114226,2025-10-30T13:25:21Z,20251030,1325,6,55,38,1,1,5.0,False,False,SYNTHETIC_DEMO_DATA
166,ALT-00000166,EVT-00002190,2025-02-25T17:09:41Z,20250225,1705,3,99,1,3,1,31.0,True,False,SYNTHETIC_DEMO_DATA
167,ALT-00000167,EVT-00010155,2025-10-15T08:20:33Z,20251015,820,1,35,39,4,1,18.0,True,True,SYNTHETIC_DEMO_DATA
168,ALT-00000168,EVT-00018120,2025-03-18T09:40:48Z,20250318,940,7,190,32,2,1,7.0,False,True,SYNTHETIC_DEMO_DATA
169,ALT-00000169,EVT-00026085,2025-02-14T15:35:28Z,20250214,1535,2,192,40,4,1,6.0,True,False,SYNTHETIC_DEMO_DATA
170,ALT-00000170,EVT-00034050,2026-03-23T12:16:02Z,20260323,1215,6,63,43,2,1,27.0,True,True,SYNTHETIC_DEMO_DATA
171,ALT-00000171,EVT-00042015,2025-04-25T11:49:53Z,20250425,1145,1,133,14,4,1,12.0,False,False,SYNTHETIC_DEMO_DATA
172,ALT-00000172,EVT-00049980,2026-02-24T12:12:54Z,20260224,1210,6,151,9,1,1,11.0,False,False,SYNTHETIC_DEMO_DATA
173,ALT-00000173,EVT-00057945,2025-07-26T09:28:37Z,20250726,925,4,32,17,1,1,40.0,False,False,SYNTHETIC_DEMO_DATA
174,ALT-00000174,EVT-00065910,2025-07-24T16:23:33Z,20250724,1620,7,115,34,1,1,7.0,False,True,SYNTHETIC_DEMO_DATA
175,ALT-00000175,EVT-00073876,2026-04-13T09:09:06Z,20260413,905,1,2,19,2,1,3.0,True,False,SYNTHETIC_DEMO_DATA
176,ALT-00000176,EVT-00081841,2025-08-13T08:09:17Z,20250813,805,5,184,36,3,1,9.0,True,False,SYNTHETIC_DEMO_DATA
177,ALT-00000177,EVT-00089806,2026-06-26T17:32:30Z,20260626,1730,5,59,12,1,1,23.0,True,False,SYNTHETIC_DEMO_DATA
178,ALT-00000178,EVT-00097771,2025-08-05T18:53:00Z,20250805,1850,7,171,37,1,1,9.0,True,False,SYNTHETIC_DEMO_DATA
179,ALT-00000179,EVT-00105736,2025-10-09T14:14:50Z,20251009,1410,6,237,26,1,1,12.0,True,False,SYNTHETIC_DEMO_DATA
180,ALT-00000180,EVT-00113701,2026-05-04T20:30:26Z,20260504,2030,7,89,21,5,1,5.0,False,False,SYNTHETIC_DEMO_DATA
181,ALT-00000181,EVT-00001665,2025-11-18T13:33:19Z,20251118,1330,1,55,24,1,1,7.0,False,True,SYNTHETIC_DEMO_DATA
