TimeKey,Hour,Minute,HourLabel,Period
1710,17,10,17:00,Tarde
1715,17,15,17:00,Tarde
1720,17,20,17:00,Tarde
1725,17,25,17:00,Tarde
1730,17,30,17:00,Tarde
1735,17,35,17:00,Tarde
1740,17,40,17:00,Tarde
1745,17,45,17:00,Tarde
1750,17,50,17:00,Tarde
1755,17,55,17:00,Tarde
1800,18,0,18:00,Noite
1805,18,5,18:00,Noite
1810,18,10,18:00,Noite
1815,18,15,18:00,Noite
1820,18,20,18:00,Noite
1825,18,25,18:00,Noite
1830,18,30,18:00,Noite
1835,18,35,18:00,Noite
1840,18,40,18:00,Noite
1845,18,45,18:00,Noite
1850,18,50,18:00,Noite
1855,18,55,18:00,Noite
1900,19,0,19:00,Noite
1905,19,5,19:00,Noite
1910,19,10,19:00,Noite
1915,19,15,19:00,Noite
1920,19,20,19:00,Noite
1925,19,25,19:00,Noite
1930,19,30,19:00,Noite
1935,19,35,19:00,Noite
1940,19,40,19:00,Noite
1945,19,45,19:00,Noite
1950,19,50,19:00,Noite
1955,19,55,19:00,Noite
2000,20,0,20:00,Noite
2005,20,5,20:00,Noite
2010,20,10,20:00,Noite
2015,20,15,20:00,Noite
2020,20,20,20:00,Noite
2025,20,25,20:00,Noite
2030,20,30,20:00,Noite
2035,20,35,20:00,Noite
2040,20,40,20:00,Noite
2045,20,45,20:00,Noite
2050,20,50,20:00,Noite
2055,20,55,20:00,Noite
2100,21,0,21:00,Noite
2105,21,5,21:00,Noite
2110,21,10,21:00,Noite
2115,21,15,21:00,Noite
2120,21,20,21:00,Noite
2125,21,25,21:00,Noite
2130,21,30,21:00,Noite
2135,21,35,21:00,Noite
2140,21,40,21:00,Noite
2145,21,45,21:00,Noite
2150,21,50,21:00,Noite
2155,21,55,21:00,Noite
2200,22,0,22:00,Noite
2205,22,5,22:00,Noite
2210,22,10,22:00,Noite
2215,22,15,22:00,Noite
2220,22,20,22:00,Noite
2225,22,25,22:00,Noite
2230,22,30,22:00,Noite
2235,22,35,22:00,Noite
2240,22,40,22:00,Noite
2245,22,45,22:00,Noite
2250,22,50,22:00,Noite
2255,22,55,22:00,Noite
2300,23,0,23:00,Noite
2305,23,5,23:00,Noite
2310,23,10,23:00,Noite
2315,23,15,23:00,Noite
2320,23,20,23:00,Noite
2325,23,25,23:00,Noite
2330,23,30,23:00,Noite
2335,23,35,23:00,Noite
2340,23,40,23:00,Noite
2345,23,45,23:00,Noite
2350,23,50,23:00,Noite
2355,23,55,23:00,Noite
