AssetKey,AssetId,AssetLabel,AssetType,BusinessUnit,Environment,Criticality,NetworkAddress,IsSynthetic
115,AST-0115,Ativo sintético 115,Servidor,Corporativo,Desenvolvimento,3,192.0.2.116,True
116,AST-0116,Ativo sintético 116,Endpoint,Pesquisa,Homologação,2,198.51.100.117,True
117,AST-0117,Ativo sintético 117,Identidade,Atendimento,Produção,1,203.0.113.118,True
118,AST-0118,Ativo sintético 118,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.119,True
119,AST-0119,Ativo sintético 119,Nuvem,Financeiro,Homologação,3,198.51.100.120,True
120,AST-0120,Ativo sintético 120,Dispositivo de rede,Operações,Produção,3,203.0.113.121,True
121,AST-0121,Ativo sintético 121,Servidor,Corporativo,Desenvolvimento,2,192.0.2.122,True
122,AST-0122,Ativo sintético 122,Endpoint,Pesquisa,Homologação,5,198.51.100.123,True
123,AST-0123,Ativo sintético 123,Identidade,Atendimento,Produção,4,203.0.113.124,True
124,AST-0124,Ativo sintético 124,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.125,True
125,AST-0125,Ativo sintético 125,Nuvem,Financeiro,Homologação,2,198.51.100.126,True
126,AST-0126,Ativo sintético 126,Dispositivo de rede,Operações,Produção,1,203.0.113.127,True
127,AST-0127,Ativo sintético 127,Servidor,Corporativo,Desenvolvimento,4,192.0.2.128,True
128,AST-0128,Ativo sintético 128,Endpoint,Pesquisa,Homologação,3,198.51.100.129,True
129,AST-0129,Ativo sintético 129,Identidade,Atendimento,Produção,3,203.0.113.130,True
130,AST-0130,Ativo sintético 130,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.131,True
131,AST-0131,Ativo sintético 131,Nuvem,Financeiro,Homologação,5,198.51.100.132,True
132,AST-0132,Ativo sintético 132,Dispositivo de rede,Operações,Produção,4,203.0.113.133,True
133,AST-0133,Ativo sintético 133,Servidor,Corporativo,Desenvolvimento,3,192.0.2.134,True
134,AST-0134,Ativo sintético 134,Endpoint,Pesquisa,Homologação,2,198.51.100.135,True
135,AST-0135,Ativo sintético 135,Identidade,Atendimento,Produção,1,203.0.113.136,True
136,AST-0136,Ativo sintético 136,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.137,True
137,AST-0137,Ativo sintético 137,Nuvem,Financeiro,Homologação,3,198.51.100.138,True
138,AST-0138,Ativo sintético 138,Dispositivo de rede,Operações,Produção,3,203.0.113.139,True
139,AST-0139,Ativo sintético 139,Servidor,Corporativo,Desenvolvimento,2,192.0.2.140,True
140,AST-0140,Ativo sintético 140,Endpoint,Pesquisa,Homologação,5,198.51.100.141,True
141,AST-0141,Ativo sintético 141,Identidade,Atendimento,Produção,4,203.0.113.142,True
142,AST-0142,Ativo sintético 142,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.143,True
143,AST-0143,Ativo sintético 143,Nuvem,Financeiro,Homologação,2,198.51.100.144,True
144,AST-0144,Ativo sintético 144,Dispositivo de rede,Operações,Produção,1,203.0.113.145,True
145,AST-0145,Ativo sintético 145,Servidor,Corporativo,Desenvolvimento,4,192.0.2.146,True
146,AST-0146,Ativo sintético 146,Endpoint,Pesquisa,Homologação,3,198.51.100.147,True
147,AST-0147,Ativo sintético 147,Identidade,Atendimento,Produção,3,203.0.113.148,True
148,AST-0148,Ativo sintético 148,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.149,True
149,AST-0149,Ativo sintético 149,Nuvem,Financeiro,Homologação,5,198.51.100.150,True
150,AST-0150,Ativo sintético 150,Dispositivo de rede,Operações,Produção,4,203.0.113.151,True
151,AST-0151,Ativo sintético 151,Servidor,Corporativo,Desenvolvimento,3,192.0.2.152,True
152,AST-0152,Ativo sintético 152,Endpoint,Pesquisa,Homologação,2,198.51.100.153,True
153,AST-0153,Ativo sintético 153,Identidade,Atendimento,Produção,1,203.0.113.154,True
154,AST-0154,Ativo sintético 154,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.155,True
155,AST-0155,Ativo sintético 155,Nuvem,Financeiro,Homologação,3,198.51.100.156,True
156,AST-0156,Ativo sintético 156,Dispositivo de rede,Operações,Produção,3,203.0.113.157,True
157,AST-0157,Ativo sintético 157,Servidor,Corporativo,Desenvolvimento,2,192.0.2.158,True
158,AST-0158,Ativo sintético 158,Endpoint,Pesquisa,Homologação,5,198.51.100.159,True
159,AST-0159,Ativo sintético 159,Identidade,Atendimento,Produção,4,203.0.113.160,True
160,AST-0160,Ativo sintético 160,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.161,True
161,AST-0161,Ativo sintético 161,Nuvem,Financeiro,Homologação,2,198.51.100.162,True
162,AST-0162,Ativo sintético 162,Dispositivo de rede,Operações,Produção,1,203.0.113.163,True
163,AST-0163,Ativo sintético 163,Servidor,Corporativo,Desenvolvimento,4,192.0.2.164,True
164,AST-0164,Ativo sintético 164,Endpoint,Pesquisa,Homologação,3,198.51.100.165,True
165,AST-0165,Ativo sintético 165,Identidade,Atendimento,Produção,3,203.0.113.166,True
166,AST-0166,Ativo sintético 166,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.167,True
167,AST-0167,Ativo sintético 167,Nuvem,Financeiro,Homologação,5,198.51.100.168,True
168,AST-0168,Ativo sintético 168,Dispositivo de rede,Operações,Produção,4,203.0.113.169,True
169,AST-0169,Ativo sintético 169,Servidor,Corporativo,Desenvolvimento,3,192.0.2.170,True
170,AST-0170,Ativo sintético 170,Endpoint,Pesquisa,Homologação,2,198.51.100.171,True
171,AST-0171,Ativo sintético 171,Identidade,Atendimento,Produção,1,203.0.113.172,True
172,AST-0172,Ativo sintético 172,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.173,True
173,AST-0173,Ativo sintético 173,Nuvem,Financeiro,Homologação,3,198.51.100.174,True
174,AST-0174,Ativo sintético 174,Dispositivo de rede,Operações,Produção,3,203.0.113.175,True
175,AST-0175,Ativo sintético 175,Servidor,Corporativo,Desenvolvimento,2,192.0.2.176,True
176,AST-0176,Ativo sintético 176,Endpoint,Pesquisa,Homologação,5,198.51.100.177,True
177,AST-0177,Ativo sintético 177,Identidade,Atendimento,Produção,4,203.0.113.178,True
178,AST-0178,Ativo sintético 178,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.179,True
179,AST-0179,Ativo sintético 179,Nuvem,Financeiro,Homologação,2,198.51.100.180,True
180,AST-0180,Ativo sintético 180,Dispositivo de rede,Operações,Produção,1,203.0.113.181,True
181,AST-0181,Ativo sintético 181,Servidor,Corporativo,Desenvolvimento,4,192.0.2.182,True
182,AST-0182,Ativo sintético 182,Endpoint,Pesquisa,Homologação,3,198.51.100.183,True
183,AST-0183,Ativo sintético 183,Identidade,Atendimento,Produção,3,203.0.113.184,True
184,AST-0184,Ativo sintético 184,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.185,True
185,AST-0185,Ativo sintético 185,Nuvem,Financeiro,Homologação,5,198.51.100.186,True
186,AST-0186,Ativo sintético 186,Dispositivo de rede,Operações,Produção,4,203.0.113.187,True
187,AST-0187,Ativo sintético 187,Servidor,Corporativo,Desenvolvimento,3,192.0.2.188,True
188,AST-0188,Ativo sintético 188,Endpoint,Pesquisa,Homologação,2,198.51.100.189,True
189,AST-0189,Ativo sintético 189,Identidade,Atendimento,Produção,1,203.0.113.190,True
190,AST-0190,Ativo sintético 190,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.191,True
191,AST-0191,Ativo sintético 191,Nuvem,Financeiro,Homologação,3,198.51.100.192,True
192,AST-0192,Ativo sintético 192,Dispositivo de rede,Operações,Produção,3,203.0.113.193,True
193,AST-0193,Ativo sintético 193,Servidor,Corporativo,Desenvolvimento,2,192.0.2.194,True
194,AST-0194,Ativo sintético 194,Endpoint,Pesquisa,Homologação,5,198.51.100.195,True
195,AST-0195,Ativo sintético 195,Identidade,Atendimento,Produção,4,203.0.113.196,True
196,AST-0196,Ativo sintético 196,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.197,True
197,AST-0197,Ativo sintético 197,Nuvem,Financeiro,Homologação,2,198.51.100.198,True
198,AST-0198,Ativo sintético 198,Dispositivo de rede,Operações,Produção,1,203.0.113.199,True
199,AST-0199,Ativo sintético 199,Servidor,Corporativo,Desenvolvimento,4,192.0.2.200,True
200,AST-0200,Ativo sintético 200,Endpoint,Pesquisa,Homologação,3,198.51.100.201,True
201,AST-0201,Ativo sintético 201,Identidade,Atendimento,Produção,3,203.0.113.202,True
202,AST-0202,Ativo sintético 202,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.203,True
203,AST-0203,Ativo sintético 203,Nuvem,Financeiro,Homologação,5,198.51.100.204,True
204,AST-0204,Ativo sintético 204,Dispositivo de rede,Operações,Produção,4,203.0.113.205,True
205,AST-0205,Ativo sintético 205,Servidor,Corporativo,Desenvolvimento,3,192.0.2.206,True
206,AST-0206,Ativo sintético 206,Endpoint,Pesquisa,Homologação,2,198.51.100.207,True
207,AST-0207,Ativo sintético 207,Identidade,Atendimento,Produção,1,203.0.113.208,True
208,AST-0208,Ativo sintético 208,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.209,True
209,AST-0209,Ativo sintético 209,Nuvem,Financeiro,Homologação,3,198.51.100.210,True
210,AST-0210,Ativo sintético 210,Dispositivo de rede,Operações,Produção,3,203.0.113.211,True
211,AST-0211,Ativo sintético 211,Servidor,Corporativo,Desenvolvimento,2,192.0.2.212,True
212,AST-0212,Ativo sintético 212,Endpoint,Pesquisa,Homologação,5,198.51.100.213,True
213,AST-0213,Ativo sintético 213,Identidade,Atendimento,Produção,4,203.0.113.214,True
214,AST-0214,Ativo sintético 214,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.215,True
215,AST-0215,Ativo sintético 215,Nuvem,Financeiro,Homologação,2,198.51.100.216,True
216,AST-0216,Ativo sintético 216,Dispositivo de rede,Operações,Produção,1,203.0.113.217,True
217,AST-0217,Ativo sintético 217,Servidor,Corporativo,Desenvolvimento,4,192.0.2.218,True
218,AST-0218,Ativo sintético 218,Endpoint,Pesquisa,Homologação,3,198.51.100.219,True
219,AST-0219,Ativo sintético 219,Identidade,Atendimento,Produção,3,203.0.113.220,True
220,AST-0220,Ativo sintético 220,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.221,True
221,AST-0221,Ativo sintético 221,Nuvem,Financeiro,Homologação,5,198.51.100.222,True
222,AST-0222,Ativo sintético 222,Dispositivo de rede,Operações,Produção,4,203.0.113.223,True
223,AST-0223,Ativo sintético 223,Servidor,Corporativo,Desenvolvimento,3,192.0.2.224,True
224,AST-0224,Ativo sintético 224,Endpoint,Pesquisa,Homologação,2,198.51.100.225,True
225,AST-0225,Ativo sintético 225,Identidade,Atendimento,Produção,1,203.0.113.226,True
226,AST-0226,Ativo sintético 226,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.227,True
227,AST-0227,Ativo sintético 227,Nuvem,Financeiro,Homologação,3,198.51.100.228,True
228,AST-0228,Ativo sintético 228,Dispositivo de rede,Operações,Produção,3,203.0.113.229,True
229,AST-0229,Ativo sintético 229,Servidor,Corporativo,Desenvolvimento,2,192.0.2.230,True
230,AST-0230,Ativo sintético 230,Endpoint,Pesquisa,Homologação,5,198.51.100.231,True
231,AST-0231,Ativo sintético 231,Identidade,Atendimento,Produção,4,203.0.113.232,True
232,AST-0232,Ativo sintético 232,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.233,True
233,AST-0233,Ativo sintético 233,Nuvem,Financeiro,Homologação,2,198.51.100.234,True
234,AST-0234,Ativo sintético 234,Dispositivo de rede,Operações,Produção,1,203.0.113.235,True
235,AST-0235,Ativo sintético 235,Servidor,Corporativo,Desenvolvimento,4,192.0.2.236,True
236,AST-0236,Ativo sintético 236,Endpoint,Pesquisa,Homologação,3,198.51.100.237,True
237,AST-0237,Ativo sintético 237,Identidade,Atendimento,Produção,3,203.0.113.238,True
238,AST-0238,Ativo sintético 238,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.239,True
239,AST-0239,Ativo sintético 239,Nuvem,Financeiro,Homologação,5,198.51.100.240,True
240,AST-0240,Ativo sintético 240,Dispositivo de rede,Operações,Produção,4,203.0.113.241,True
