incident_id,alert_id,created_at,acknowledged_at,triaged_at,contained_at,resolved_at,closed_at,source_product,source_system,asset_id,rule_id,severity,status,analyst_id,classification_key,risk_score,is_escalated,is_reopened,data_classification
INC-00000942,ALT-00005581,2025-06-05T16:19:51Z,2025-06-05T16:43:51Z,2025-06-05T16:53:51Z,2025-06-05T19:27:51Z,2025-06-06T01:59:51Z,2025-06-06T13:38:51Z,External Synthetic,Identity Provider,AST-0176,RUL-029,Informational,Closed,ANL-014,3,49.4,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000731,ALT-00010353,2026-04-10T09:33:08Z,2026-04-10T10:14:08Z,2026-04-10T10:58:08Z,2026-04-10T11:07:08Z,2026-04-10T14:54:08Z,2026-04-10T21:35:08Z,External Synthetic,Identity Provider,AST-0088,RUL-030,Informational,Closed,ANL-015,1,37.8,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000914,ALT-00003520,2025-05-16T08:04:27Z,2025-05-16T08:26:27Z,2025-05-16T08:38:27Z,2025-05-16T10:10:27Z,2025-05-16T21:17:27Z,2025-05-16T22:35:27Z,External Synthetic,Cloud Audit,AST-0011,RUL-013,Informational,Closed,ANL-012,1,40.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000680,ALT-00012361,2025-11-01T14:37:24Z,2025-11-01T15:15:24Z,2025-11-01T15:41:24Z,2025-11-01T16:20:24Z,2025-11-01T17:51:24Z,2025-11-01T19:24:24Z,External Synthetic,Identity Provider,AST-0188,RUL-011,Medium,Closed,ANL-014,1,57.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001803,ALT-00001267,2026-05-18T14:38:40Z,2026-05-18T15:01:40Z,2026-05-18T15:22:40Z,2026-05-18T16:37:40Z,2026-05-18T21:54:40Z,2026-05-19T05:32:40Z,External Synthetic,Network Sensor,AST-0215,RUL-032,Informational,Closed,ANL-017,1,36.1,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002191,ALT-00003600,2026-03-29T17:40:35Z,2026-03-29T18:12:35Z,2026-03-29T19:05:35Z,,,,External Synthetic,Cloud Audit,AST-0155,RUL-040,Informational,Active,ANL-001,0,37.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003168,ALT-00008306,2026-01-08T00:49:56Z,2026-01-08T01:12:56Z,2026-01-08T01:48:56Z,2026-01-08T04:24:56Z,2026-01-08T07:40:56Z,2026-01-08T17:01:56Z,External Synthetic,Identity Provider,AST-0048,RUL-017,Medium,Closed,ANL-004,2,83.6,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003010,ALT-00014592,2025-08-31T21:24:07Z,2025-08-31T21:49:07Z,2025-08-31T22:06:07Z,2025-08-31T23:04:07Z,2025-09-01T01:27:07Z,2025-09-01T09:09:07Z,EDY SIEM,Correlation Hub,AST-0145,RUL-037,Informational,Closed,ANL-010,1,39.0,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001201,ALT-00004212,2025-06-03T11:57:57Z,2025-06-03T12:23:57Z,2025-06-03T12:55:57Z,2025-06-03T13:23:57Z,2025-06-03T22:24:57Z,2025-06-04T07:06:57Z,EDY Sentinel,Cloud Detection,AST-0208,RUL-032,Informational,Closed,ANL-001,2,45.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002373,ALT-00008988,2026-02-01T14:57:57Z,2026-02-01T15:31:57Z,2026-02-01T16:12:57Z,2026-02-01T20:22:57Z,2026-02-01T21:21:57Z,2026-02-01T23:37:57Z,EDY Sentinel,Cloud Detection,AST-0146,RUL-011,Low,Closed,ANL-006,3,49.6,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003149,ALT-00001517,2025-06-02T16:10:27Z,2025-06-02T16:20:27Z,2025-06-02T16:36:27Z,2025-06-02T17:42:27Z,2025-06-02T21:16:27Z,2025-06-03T07:54:27Z,EDY Shield,Endpoint Integrity,AST-0181,RUL-006,Low,Closed,ANL-010,1,59.3,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000674,ALT-00012921,2025-08-22T12:03:03Z,2025-08-22T12:23:03Z,2025-08-22T12:48:03Z,2025-08-22T14:21:03Z,2025-08-22T15:50:03Z,2025-08-22T21:24:03Z,EDY Sentinel,Cloud Detection,AST-0060,RUL-045,Low,Closed,ANL-001,4,63.3,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001266,ALT-00010373,2025-03-18T09:11:40Z,2025-03-18T09:41:40Z,2025-03-18T10:10:40Z,2025-03-18T10:24:40Z,2025-03-18T13:20:40Z,2025-03-18T13:31:40Z,External Synthetic,Network Sensor,AST-0147,RUL-004,Low,Closed,ANL-015,1,54.8,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003167,ALT-00008107,2026-06-13T18:18:44Z,2026-06-13T18:41:44Z,2026-06-13T19:17:44Z,2026-06-13T21:50:44Z,2026-06-14T04:17:44Z,,External Synthetic,Network Sensor,AST-0117,RUL-033,Low,Resolved,ANL-010,1,42.8,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000642,ALT-00010929,2025-07-18T17:28:25Z,2025-07-18T17:53:25Z,2025-07-18T17:59:25Z,2025-07-18T19:23:25Z,2025-07-18T20:10:25Z,2025-07-18T21:30:25Z,EDY SIEM,Correlation Hub,AST-0158,RUL-043,LOW,Closed,ANL-009,3,63.0,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003132,ALT-00003718,2026-07-09T10:14:28Z,2026-07-09T12:25:28Z,2026-07-09T12:42:28Z,2026-07-09T14:11:28Z,2026-07-09T17:01:28Z,2026-07-10T02:36:28Z,EDY Sentinel,Cloud Detection,AST-0040,RUL-011,Informational,Closed,ANL-002,1,36.1,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002829,ALT-00008925,2026-05-27T17:41:37Z,2026-05-27T17:58:37Z,2026-05-27T18:21:37Z,2026-05-27T19:30:37Z,2026-05-27T20:33:37Z,,EDY RECON,Exposure Intelligence,AST-0184,RUL-022,Informational,Resolved,ANL-017,1,27.7,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001601,ALT-00014450,2025-12-20T07:20:44Z,2025-12-20T07:50:44Z,2025-12-20T08:20:44Z,2025-12-20T09:47:44Z,2025-12-20T12:21:44Z,2025-12-20T16:17:44Z,EDY Shield,Endpoint Integrity,AST-0104,RUL-027,Low,Closed,ANL-010,2,61.0,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000400,ALT-00016034,2026-01-17T19:33:20Z,2026-01-17T20:38:20Z,2026-01-17T20:58:20Z,2026-01-17T22:55:20Z,2026-01-18T01:31:20Z,2026-01-18T08:12:20Z,EDY Sentinel,Cloud Detection,AST-0052,RUL-004,Low,Closed,ANL-011,1,56.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002088,ALT-00011172,2025-04-13T11:29:57Z,2025-04-13T11:57:57Z,2025-04-13T12:08:57Z,2025-04-13T12:33:57Z,2025-04-13T15:08:57Z,2025-04-14T00:07:57Z,EDY RECON,Exposure Intelligence,AST-0155,RUL-002,Low,Closed,ANL-003,1,49.3,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001816,ALT-00017091,2026-05-09T14:18:45Z,2026-05-09T14:58:45Z,2026-05-09T15:08:45Z,2026-05-09T15:36:45Z,2026-05-09T16:53:45Z,2026-05-10T02:06:45Z,EDY SIEM,Correlation Hub,AST-0131,RUL-003,High,Closed,ANL-001,3,100,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002914,ALT-00008207,2026-06-26T17:29:53Z,2026-06-26T17:43:53Z,2026-06-26T18:30:53Z,2026-06-26T20:01:53Z,2026-06-26T20:38:53Z,2026-06-27T05:56:53Z,External Synthetic,Cloud Audit,AST-0003,RUL-010,Medium,Closed,ANL-018,1,63.5,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000087,ALT-00009568,2026-03-10T17:48:54Z,2026-03-10T17:53:54Z,2026-03-10T18:07:54Z,2026-03-10T19:28:54Z,2026-03-11T12:06:54Z,2026-03-11T22:40:54Z,External Synthetic,Cloud Audit,AST-0175,RUL-012,Informational,Closed,ANL-005,1,31.7,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000177,ALT-00005045,2026-05-03T16:09:26Z,2026-05-03T16:24:26Z,2026-05-03T16:30:26Z,2026-05-03T17:40:26Z,2026-05-03T19:53:26Z,2026-05-04T01:44:26Z,EDY Shield,Endpoint Integrity,AST-0172,RUL-001,Informational,Closed,ANL-005,1,45.3,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000595,ALT-00011035,2026-06-26T15:34:58Z,,,,,,EDY RECON,Exposure Intelligence,AST-0208,RUL-011,Informational,New,ANL-013,0,40.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000536,ALT-00007118,2026-07-31T12:11:04Z,2026-07-31T12:25:04Z,2026-07-31T12:58:04Z,2026-07-31T14:16:04Z,,,External Synthetic,Network Sensor,AST-0075,RUL-037,Low,Contained,ANL-013,0,53.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002596,ALT-00003673,2026-02-19T19:59:21Z,2026-02-19T20:18:21Z,2026-02-19T20:47:21Z,2026-02-19T22:56:21Z,2026-02-20T03:42:21Z,2026-02-20T08:43:21Z,External Synthetic,Cloud Audit,AST-0051,RUL-032,Informational,Closed,ANL-010,3,56.3,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002082,ALT-00006629,2025-12-24T11:21:42Z,2025-12-24T11:31:42Z,2025-12-24T12:09:42Z,2025-12-24T12:45:42Z,2025-12-24T13:54:42Z,2025-12-24T22:22:42Z,EDY SIEM,Correlation Hub,AST-0149,RUL-013,High,Closed,ANL-011,1,100,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002598,ALT-00015740,2025-03-04T16:57:30Z,,,,,,EDY Sentinel,Cloud Detection,AST-0056,RUL-015,Low,New,ANL-015,0,48.7,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001271,ALT-00007748,2025-06-24T07:04:37Z,2025-06-24T07:34:37Z,2025-06-24T08:52:37Z,2025-06-24T12:04:37Z,2025-06-24T15:10:37Z,2025-06-24T18:40:37Z,External Synthetic,Identity Provider,AST-0216,RUL-021,Low,Closed,ANL-016,3,40.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002374,ALT-00016134,2025-06-25T19:14:41Z,2025-06-25T19:36:41Z,2025-06-25T19:45:41Z,2025-06-25T19:57:41Z,2025-06-25T21:31:41Z,2025-06-26T00:44:41Z,External Synthetic,Identity Provider,AST-0050,RUL-022,Informational,Closed,ANL-016,3,51.1,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000796,ALT-00000927,2026-02-10T14:50:52Z,2026-02-10T15:06:52Z,2026-02-10T15:30:52Z,2026-02-10T16:44:52Z,2026-02-10T18:42:52Z,2026-02-10T23:03:52Z,EDY Sentinel,Cloud Detection,AST-0109,RUL-023,Low,Closed,,1,58.1,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001794,ALT-00014314,2025-12-06T14:50:40Z,2025-12-06T14:53:40Z,2025-12-06T15:03:40Z,2025-12-06T15:37:40Z,2025-12-06T16:19:40Z,2025-12-07T02:38:40Z,EDY SIEM,Correlation Hub,AST-0201,RUL-032,High,Closed,ANL-011,1,95.4,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003042,ALT-00003167,2025-07-23T16:17:38Z,2025-07-23T16:23:38Z,2025-07-23T16:35:38Z,2025-07-23T16:58:38Z,2025-07-23T21:52:38Z,2025-07-24T03:51:38Z,External Synthetic,Cloud Audit,AST-0075,RUL-002,Medium,Closed,ANL-004,4,72.7,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000383,ALT-00017411,2025-12-28T17:17:42Z,2025-12-28T17:30:42Z,2025-12-28T17:39:42Z,2025-12-28T18:57:42Z,2025-12-28T22:18:42Z,2025-12-29T05:24:42Z,External Synthetic,Identity Provider,AST-0217,RUL-022,Low,Closed,ANL-004,2,58.0,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000992,ALT-00006043,2025-12-02T14:03:11Z,2025-12-02T15:30:11Z,2025-12-02T16:15:11Z,,,,EDY RECON,Exposure Intelligence,AST-0066,RUL-031,Informational,Active,ANL-006,0,33.5,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000449,ALT-00005881,2026-06-02T22:14:31Z,2026-06-02T22:42:31Z,2026-06-02T22:55:31Z,2026-06-02T23:57:31Z,2026-06-03T01:20:31Z,2026-06-03T08:29:31Z,External Synthetic,Identity Provider,AST-0037,RUL-019,Informational,Closed,ANL-009,1,43.7,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001194,ALT-00008429,2025-09-12T07:09:50Z,2025-09-12T07:44:50Z,2025-09-12T09:10:50Z,2025-09-12T10:18:50Z,2025-09-12T13:11:50Z,2025-09-12T13:30:50Z,EDY Shield,Endpoint Integrity,AST-0038,RUL-001,Informational,Closed,,1,40.5,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000462,ALT-00015549,2025-03-07T16:39:37Z,2025-03-07T18:09:37Z,2025-03-07T18:35:37Z,2025-03-07T19:49:37Z,2025-03-08T00:02:37Z,2025-03-08T04:00:37Z,External Synthetic,Identity Provider,AST-0124,RUL-034,Informational,Closed,ANL-008,1,53.2,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000353,ALT-00004188,2026-02-01T16:11:49Z,2026-02-01T16:49:49Z,2026-02-01T16:56:49Z,2026-02-01T18:42:49Z,2026-02-01T19:54:49Z,2026-02-02T03:39:49Z,External Synthetic,Network Sensor,AST-0155,RUL-020,Informational,Closed,ANL-015,4,39.0,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002121,ALT-00010390,2025-09-28T15:40:10Z,2025-09-28T15:55:10Z,2025-09-28T16:03:10Z,2025-09-28T17:19:10Z,2025-09-29T00:26:10Z,2025-09-29T04:51:10Z,External Synthetic,Identity Provider,AST-0077,RUL-005,Low,Closed,ANL-006,1,63.4,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002094,ALT-00003815,2025-02-19T06:50:54Z,2025-02-19T07:35:54Z,2025-02-19T09:52:54Z,2025-02-19T11:24:54Z,2025-02-19T14:35:54Z,2025-02-19T23:36:54Z,EDY SIEM,Correlation Hub,AST-0104,RUL-029,Medium,Closed,ANL-016,1,84.4,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000743,ALT-00003108,2025-02-17T12:05:31Z,2025-02-17T12:35:31Z,2025-02-17T12:58:31Z,2025-02-17T13:25:31Z,2025-02-17T14:08:31Z,2025-02-17T23:45:31Z,External Synthetic,Identity Provider,AST-0006,RUL-008,Critical,Closed,ANL-007,1,100,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001719,ALT-00003846,2025-02-17T00:46:49Z,2025-02-17T00:52:49Z,2025-02-17T01:51:49Z,2025-02-17T03:56:49Z,2025-02-17T19:25:49Z,2025-02-18T05:43:49Z,EDY SIEM,Correlation Hub,AST-0225,RUL-032,Low,Closed,ANL-012,1,37.1,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001390,ALT-00009173,2025-10-10T18:29:02Z,2025-10-10T18:40:02Z,2025-10-10T18:44:02Z,2025-10-10T20:12:02Z,2025-10-10T21:45:02Z,2025-10-11T04:24:02Z,EDY Sentinel,Cloud Detection,AST-0164,RUL-045,Medium,Closed,ANL-012,3,68.7,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001882,ALT-00014460,2025-12-19T11:28:20Z,2025-12-19T11:57:20Z,2025-12-19T12:18:20Z,2025-12-19T12:51:20Z,2025-12-19T18:29:20Z,2025-12-20T02:13:20Z,EDY RECON,Exposure Intelligence,AST-0206,RUL-005,Informational,Closed,ANL-004,2,27.6,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003068,ALT-00001271,2025-02-12T08:39:43Z,2025-02-12T09:31:43Z,2025-02-12T09:54:43Z,2025-02-12T12:32:43Z,2025-02-12T18:51:43Z,2025-02-13T06:25:43Z,External Synthetic,Network Sensor,AST-0060,RUL-040,Informational,Closed,ANL-018,3,45.8,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000350,ALT-00002459,2025-11-11T10:15:44Z,2025-11-11T11:01:44Z,2025-11-11T11:15:44Z,2025-11-11T12:20:44Z,2025-11-11T15:52:44Z,2025-11-11T22:47:44Z,External Synthetic,Network Sensor,AST-0050,RUL-005,Low,Closed,ANL-001,1,61.6,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003145,ALT-00009451,2025-09-14T13:33:48Z,2025-09-14T14:21:48Z,2025-09-14T14:33:48Z,2025-09-14T15:05:48Z,2025-09-14T18:45:48Z,2025-09-15T03:17:48Z,EDY Shield,Endpoint Integrity,AST-0143,RUL-019,Medium,Closed,ANL-003,2,57.7,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002431,ALT-00009446,2026-06-15T09:25:07Z,2026-06-15T10:01:07Z,2026-06-15T10:43:07Z,2026-06-15T12:40:07Z,2026-06-16T06:42:07Z,2026-06-16T17:06:07Z,EDY SIEM,Correlation Hub,AST-0149,RUL-031,Low,Closed,ANL-014,1,75.4,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001144,ALT-00005268,2025-08-15T13:52:52Z,2025-08-15T14:07:52Z,2025-08-15T14:21:52Z,2025-08-15T15:39:52Z,2025-08-15T20:04:52Z,,External Synthetic,Network Sensor,AST-0110,RUL-034,Low,Resolved,ANL-005,3,65.5,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00003194,ALT-00002402,2026-01-05T20:13:22Z,2026-01-05T20:18:22Z,2026-01-05T20:48:22Z,2026-01-05T21:33:22Z,2026-01-05T22:38:22Z,2026-01-05T23:59:22Z,EDY SIEM,Correlation Hub,AST-0190,RUL-009,High,Closed,ANL-003,1,100,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002490,ALT-00014947,2026-04-10T14:16:38Z,2026-04-10T14:47:38Z,2026-04-10T14:57:38Z,2026-04-10T19:37:38Z,2026-04-11T01:12:38Z,2026-04-11T04:12:38Z,External Synthetic,Network Sensor,AST-0227,RUL-015,Informational,Closed,ANL-014,1,34.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002381,ALT-00003000,2025-04-13T14:36:10Z,2025-04-13T14:47:10Z,2025-04-13T16:07:10Z,2025-04-13T17:04:10Z,2025-04-14T04:42:10Z,2025-04-14T08:02:10Z,External Synthetic,Network Sensor,AST-0089,RUL-017,Medium,Closed,ANL-005,2,58.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002744,ALT-00013821,2026-02-04T15:49:41Z,2026-02-04T16:08:41Z,2026-02-04T16:52:41Z,2026-02-04T17:54:41Z,2026-02-04T18:33:41Z,2026-02-04T21:34:41Z,EDY Shield,Endpoint Integrity,AST-0198,RUL-005,Low,Closed,ANL-001,1,44.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001115,ALT-00017025,2026-06-10T15:49:22Z,2026-06-10T16:13:22Z,2026-06-10T16:20:22Z,2026-06-10T16:41:22Z,2026-06-10T20:42:22Z,2026-06-10T21:20:22Z,External Synthetic,Cloud Audit,AST-0191,RUL-017,Informational,Closed,ANL-009,1,35.5,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001790,ALT-00012165,2025-11-06T07:52:32Z,2025-11-06T08:13:32Z,2025-11-06T08:37:32Z,2025-11-06T10:58:32Z,2025-11-07T00:27:32Z,2025-11-07T01:07:32Z,EDY SIEM,Correlation Hub,AST-0005,RUL-029,High,Closed,ANL-003,2,100,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000716,ALT-00016309,2025-08-08T18:02:50Z,2025-08-08T18:18:50Z,2025-08-08T18:31:50Z,2025-08-08T23:38:50Z,2025-08-09T00:43:50Z,2025-08-09T03:26:50Z,EDY RECON,Exposure Intelligence,AST-0176,RUL-038,High,Closed,ANL-015,1,100,TRUE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002249,ALT-00010098,2026-04-04T10:36:34Z,2026-04-04T10:56:34Z,2026-04-04T11:26:34Z,2026-04-04T12:10:34Z,2026-04-04T17:11:34Z,2026-04-04T20:57:34Z,External Synthetic,Cloud Audit,AST-0052,RUL-018,Low,Closed,ANL-010,2,57.8,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001295,ALT-00008682,2025-03-06T13:46:49Z,2025-03-06T13:50:49Z,2025-03-06T13:59:49Z,2025-03-06T14:54:49Z,2025-03-06T20:27:49Z,2025-03-06T23:58:49Z,EDY SIEM,Correlation Hub,AST-0113,RUL-017,Low,Closed,ANL-010,3,61.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002524,ALT-00016935,2025-03-26T17:06:39Z,2025-03-26T17:10:39Z,2025-03-26T17:53:39Z,2025-03-26T19:58:39Z,2025-03-26T21:58:39Z,2025-03-27T08:33:39Z,External Synthetic,Network Sensor,AST-0228,RUL-028,Informational,Closed,ANL-010,1,42.6,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001812,ALT-00014459,2026-06-30T07:44:48Z,2026-06-30T07:49:48Z,2026-06-30T08:14:48Z,,,,EDY RECON,Exposure Intelligence,AST-0093,RUL-025,Low,Active,ANL-009,0,55.6,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000923,ALT-00009561,2026-03-09T15:31:31Z,2026-03-09T15:39:31Z,2026-03-09T15:56:31Z,2026-03-09T17:08:31Z,2026-03-09T18:24:31Z,2026-03-09T23:12:31Z,EDY Shield,Endpoint Integrity,AST-0225,RUL-026,Informational,Closed,ANL-003,4,27.8,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002798,ALT-00009666,2026-01-05T08:30:42Z,2026-01-05T08:43:42Z,2026-01-05T08:51:42Z,2026-01-05T09:40:42Z,2026-01-05T12:39:42Z,2026-01-05T22:38:42Z,EDY SIEM,Correlation Hub,AST-0095,RUL-012,Informational,Closed,ANL-018,3,50.3,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000662,ALT-00001651,2026-04-13T18:39:14Z,2026-04-13T18:42:14Z,2026-04-13T18:53:14Z,2026-04-13T19:15:14Z,2026-04-14T11:16:14Z,2026-04-14T17:48:14Z,EDY Shield,Endpoint Integrity,AST-0125,RUL-045,Low,Closed,ANL-013,3,49.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002363,ALT-00012973,2026-04-25T06:29:05Z,2026-04-25T06:59:05Z,2026-04-25T08:28:05Z,,,,EDY RECON,Exposure Intelligence,AST-0232,RUL-008,Medium,Active,ANL-005,0,67.1,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002430,ALT-00000931,2026-01-10T16:56:36Z,2026-01-10T17:26:36Z,2026-01-10T17:58:36Z,2026-01-10T19:53:36Z,2026-01-10T20:38:36Z,,EDY Shield,Endpoint Integrity,AST-0007,RUL-037,Low,Resolved,ANL-003,3,57.6,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002072,ALT-00014896,2026-01-14T20:11:59Z,2026-01-14T20:13:59Z,2026-01-14T20:41:59Z,2026-01-14T21:16:59Z,2026-01-14T23:36:59Z,2026-01-15T08:27:59Z,EDY Shield,Endpoint Integrity,AST-0072,RUL-022,Low,Closed,ANL-007,2,41.0,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002405,ALT-00011405,2026-04-01T06:22:13Z,2026-04-01T06:35:13Z,2026-04-01T06:39:13Z,2026-04-01T07:04:13Z,2026-04-01T07:32:13Z,2026-04-01T12:05:13Z,EDY Shield,Endpoint Integrity,AST-0210,RUL-020,Medium,Closed,ANL-017,1,69.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
