alert_id,event_id,detected_at,source_product,asset_id,rule_id,severity,false_positive,safe_summary,data_classification
ALT-00000031,EVT-00006915,2025-02-08T14:12:20Z,External Synthetic,AST-0208,RUL-023,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000032,EVT-00014881,2025-08-28T16:43:15Z,EDY Sentinel,AST-0149,RUL-028,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000033,EVT-00022846,2025-06-13T08:00:12Z,EDY Sentinel,AST-0015,RUL-035,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000034,EVT-00030811,2026-07-29T12:34:18Z,EDY SIEM,AST-0105,RUL-041,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000035,EVT-00038776,2026-05-20T14:06:00Z,External Synthetic,AST-0125,RUL-008,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000036,EVT-00046741,2025-09-16T06:05:36Z,External Synthetic,AST-0053,RUL-026,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000037,EVT-00054706,2026-05-15T10:42:14Z,EDY SIEM,AST-0067,RUL-028,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000038,EVT-00062671,2026-06-21T16:21:12Z,EDY SIEM,AST-0123,RUL-036,Critical,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000039,EVT-00070636,2025-05-08T11:16:59Z,External Synthetic,AST-0135,RUL-020,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000040,EVT-00078601,2025-11-22T08:50:23Z,External Synthetic,AST-0032,RUL-040,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000041,EVT-00086566,2025-11-28T05:25:15Z,EDY SIEM,AST-0082,RUL-006,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000042,EVT-00094531,2026-04-05T17:09:48Z,EDY Shield,AST-0152,RUL-045,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000043,EVT-00102496,2026-02-11T09:47:19Z,EDY Shield,AST-0053,RUL-011,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000044,EVT-00110461,2025-07-28T16:32:24Z,EDY SIEM,AST-0211,RUL-009,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000045,EVT-00118426,2025-05-11T09:18:15Z,External Synthetic,AST-0091,RUL-042,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000046,EVT-00006390,2026-01-14T02:06:11Z,External Synthetic,AST-0057,RUL-028,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000047,EVT-00014355,2026-01-16T01:53:08Z,External Synthetic,AST-0172,RUL-040,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000048,EVT-00022321,2026-07-22T17:40:15Z,EDY Shield,AST-0074,RUL-014,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000049,EVT-00030286,2025-08-26T06:50:12Z,EDY Sentinel,AST-0122,RUL-013,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000050,EVT-00038251,2025-10-07T09:36:39Z,External Synthetic,AST-0189,RUL-044,High,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000051,EVT-00046216,2026-02-21T06:34:51Z,EDY SIEM,AST-0091,RUL-017,Critical,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000052,EVT-00054181,2026-03-04T09:28:37Z,External Synthetic,AST-0134,RUL-012,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000053,EVT-00062146,2025-08-07T19:35:27Z,EDY RECON,AST-0003,RUL-021,High,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000054,EVT-00070111,2025-11-20T12:00:46Z,EDY RECON,AST-0118,RUL-042,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000055,EVT-00078076,2025-09-05T07:54:01Z,EDY Sentinel,AST-0133,RUL-020,High,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000056,EVT-00086041,2025-05-21T14:59:30Z,EDY SIEM,AST-0078,RUL-039,High,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000057,EVT-00094006,2025-11-19T17:12:47Z,EDY Shield,AST-0131,RUL-028,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000058,EVT-00101971,2025-07-21T22:24:01Z,EDY SIEM,AST-0173,RUL-041,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000059,EVT-00109936,2026-01-27T15:37:20Z,EDY SIEM,AST-0105,RUL-044,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000060,EVT-00117901,2026-06-22T15:11:36Z,External Synthetic,AST-0015,RUL-023,High,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000061,EVT-00005865,2026-06-27T15:53:42Z,EDY Shield,AST-0059,RUL-007,Critical,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000062,EVT-00013830,2025-06-14T22:47:42Z,External Synthetic,AST-0131,RUL-018,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000063,EVT-00021795,2026-03-09T10:41:53Z,EDY SIEM,AST-0129,RUL-026,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000064,EVT-00029761,2025-02-23T12:15:06Z,External Synthetic,AST-0016,RUL-026,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000065,EVT-00037726,2025-10-19T16:06:53Z,EDY SIEM,AST-0002,RUL-041,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000066,EVT-00045691,2026-04-11T12:28:26Z,EDY Shield,AST-0134,RUL-009,High,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000067,EVT-00053656,2026-04-22T19:00:58Z,EDY Sentinel,AST-0080,RUL-033,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000068,EVT-00061621,2025-05-22T10:40:05Z,External Synthetic,AST-0138,RUL-005,Critical,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000069,EVT-00069586,2025-09-07T16:46:58Z,EDY RECON,AST-0020,RUL-011,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000070,EVT-00077551,2025-03-18T10:22:30Z,EDY Sentinel,AST-0070,RUL-015,High,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000071,EVT-00085516,2025-07-03T10:56:44Z,EDY Shield,AST-0031,RUL-043,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000072,EVT-00093481,2025-09-12T17:37:14Z,EDY Shield,AST-0173,RUL-010,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000073,EVT-00101446,2026-01-13T21:41:32Z,EDY RECON,AST-0002,RUL-025,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000074,EVT-00109411,2025-02-07T18:25:13Z,External Synthetic,AST-0070,RUL-011,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000075,EVT-00117376,2026-07-20T03:33:27Z,External Synthetic,AST-0188,RUL-009,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000076,EVT-00005340,2026-02-04T00:26:56Z,EDY Sentinel,AST-0038,RUL-035,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000077,EVT-00013305,2026-05-27T23:03:43Z,External Synthetic,AST-0200,RUL-013,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000078,EVT-00021270,2025-02-01T18:03:23Z,EDY SIEM,AST-0145,RUL-025,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000079,EVT-00029235,2025-07-15T11:19:39Z,External Synthetic,AST-0099,RUL-022,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000080,EVT-00037201,2025-05-15T10:06:42Z,EDY RECON,AST-0220,RUL-042,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000081,EVT-00045166,2025-02-21T16:13:56Z,EDY Sentinel,AST-0232,RUL-004,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000082,EVT-00053131,2025-10-28T02:26:51Z,External Synthetic,AST-0151,RUL-037,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000083,EVT-00061096,2026-01-23T16:10:48Z,EDY SIEM,AST-0098,RUL-006,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000084,EVT-00069061,2025-07-17T11:27:40Z,EDY Sentinel,AST-0217,RUL-037,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000085,EVT-00077026,2026-04-03T17:17:28Z,External Synthetic,AST-0008,RUL-018,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000086,EVT-00084991,2025-07-14T16:48:12Z,EDY SIEM,AST-0145,RUL-012,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000087,EVT-00092956,2025-07-28T07:55:56Z,External Synthetic,AST-0232,RUL-014,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000088,EVT-00100921,2025-06-25T12:26:37Z,External Synthetic,AST-0068,RUL-040,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000089,EVT-00108886,2026-01-01T14:38:55Z,External Synthetic,AST-0236,RUL-031,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000090,EVT-00116851,2025-06-30T11:34:35Z,External Synthetic,AST-0094,RUL-023,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000091,EVT-00004815,2025-12-13T12:26:45Z,External Synthetic,AST-0048,RUL-011,High,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000092,EVT-00012780,2025-07-13T10:27:18Z,EDY SIEM,AST-0142,RUL-022,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000093,EVT-00020745,2026-07-24T06:43:43Z,EDY SIEM,AST-0166,RUL-036,Critical,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000094,EVT-00028710,2025-05-02T21:35:31Z,External Synthetic,AST-0138,RUL-039,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000095,EVT-00036675,2025-03-06T17:15:48Z,EDY SIEM,AST-0120,RUL-041,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000096,EVT-00044641,2025-03-02T15:19:17Z,EDY SIEM,AST-0045,RUL-006,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000097,EVT-00052606,2026-01-28T07:18:05Z,External Synthetic,AST-0175,RUL-014,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000098,EVT-00060571,2026-03-25T12:31:22Z,EDY SIEM,AST-0194,RUL-036,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000099,EVT-00068536,2026-02-18T16:15:43Z,EDY Sentinel,AST-0046,RUL-035,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000100,EVT-00076501,2025-10-22T18:18:14Z,EDY Shield,AST-0170,RUL-024,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000101,EVT-00084466,2026-05-30T19:31:08Z,External Synthetic,AST-0046,RUL-014,Critical,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000102,EVT-00092431,2025-07-17T03:37:17Z,External Synthetic,AST-0191,RUL-007,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000103,EVT-00100396,2025-07-04T07:52:25Z,EDY Shield,AST-0185,RUL-033,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000104,EVT-00108361,2025-03-28T05:25:42Z,EDY SIEM,AST-0018,RUL-042,Critical,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000105,EVT-00116326,2025-12-17T09:05:11Z,EDY Sentinel,AST-0001,RUL-026,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000106,EVT-00004290,2025-07-27T16:01:30Z,EDY RECON,AST-0071,RUL-006,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000107,EVT-00012255,2025-09-03T16:58:54Z,EDY SIEM,AST-0227,RUL-024,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000108,EVT-00020220,2026-07-01T09:39:03Z,External Synthetic,AST-0239,RUL-041,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000109,EVT-00028185,2025-12-26T17:29:51Z,EDY Shield,AST-0208,RUL-008,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000110,EVT-00036150,2025-07-01T09:20:33Z,External Synthetic,AST-0239,RUL-025,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000111,EVT-00044116,2026-07-09T15:15:23Z,External Synthetic,AST-0217,RUL-006,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000112,EVT-00052081,2025-03-13T08:41:29Z,External Synthetic,AST-0213,RUL-015,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000113,EVT-00060046,2025-08-02T00:14:53Z,External Synthetic,AST-0078,RUL-021,informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000114,EVT-00068011,2025-08-30T17:31:19Z,External Synthetic,AST-0021,RUL-042,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000115,EVT-00075976,2025-10-26T17:30:15Z,EDY SIEM,AST-0127,RUL-035,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000116,EVT-00083941,2025-12-08T14:14:20Z,EDY SIEM,AST-0190,RUL-021,Critical,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000117,EVT-00091906,2026-02-10T14:31:00Z,EDY SIEM,AST-0156,RUL-042,High,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000118,EVT-00099871,2025-08-12T11:43:37Z,External Synthetic,AST-0092,RUL-018,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000119,EVT-00107836,2025-02-20T15:01:48Z,EDY RECON,AST-0077,RUL-030,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000120,EVT-00115801,2025-08-13T16:43:25Z,EDY Sentinel,AST-0131,RUL-023,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000121,EVT-00003765,2025-04-02T13:50:05Z,EDY Sentinel,AST-0059,RUL-005,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000122,EVT-00011730,2025-10-24T08:15:55Z,EDY Sentinel,AST-0159,RUL-011,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000123,EVT-00019695,2025-03-14T14:55:12Z,EDY Sentinel,AST-0211,RUL-004,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000124,EVT-00027660,2025-05-31T18:12:04Z,EDY SIEM,AST-0050,RUL-015,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000125,EVT-00035625,2025-02-15T16:04:48Z,EDY Shield,AST-0107,RUL-015,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000126,EVT-00043590,2025-04-03T10:18:31Z,EDY SIEM,AST-0106,RUL-018,High,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000127,EVT-00051556,2025-02-06T20:55:08Z,External Synthetic,AST-0189,RUL-043,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000128,EVT-00059521,2025-03-16T15:09:29Z,External Synthetic,AST-0099,RUL-005,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000129,EVT-00067486,2025-09-22T14:27:53Z,External Synthetic,AST-0098,RUL-042,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000130,EVT-00075451,2025-04-28T07:44:13Z,EDY SIEM,AST-0191,RUL-002,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000131,EVT-00083416,2026-01-29T10:37:12Z,EDY RECON,AST-0047,RUL-006,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000132,EVT-00091381,2025-07-13T09:55:24Z,External Synthetic,AST-0032,RUL-036,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000133,EVT-00099346,2025-03-18T17:53:23Z,External Synthetic,AST-0066,RUL-044,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000134,EVT-00107311,2025-06-29T14:41:56Z,EDY Sentinel,AST-0056,RUL-006,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000135,EVT-00115276,2025-11-20T01:57:01Z,External Synthetic,AST-0082,RUL-005,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000136,EVT-00003240,2026-06-18T19:04:28Z,External Synthetic,AST-0158,RUL-014,High,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000137,EVT-00011205,2026-04-06T17:25:08Z,EDY Shield,AST-0094,RUL-017,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000138,EVT-00019170,2025-12-29T16:02:36Z,EDY Sentinel,AST-0156,RUL-035,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000139,EVT-00027135,2025-11-13T16:10:44Z,EDY Sentinel,AST-0174,RUL-006,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000140,EVT-00035100,2025-02-07T12:42:57Z,External Synthetic,AST-0105,RUL-010,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000141,EVT-00043065,2026-07-11T16:23:39Z,External Synthetic,AST-0019,RUL-035,High,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000142,EVT-00051030,2025-08-21T11:13:39Z,EDY Sentinel,AST-0008,RUL-011,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000143,EVT-00058996,2025-02-09T16:07:28Z,External Synthetic,AST-0131,RUL-039,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000144,EVT-00066961,2025-03-31T02:29:56Z,External Synthetic,AST-0177,RUL-004,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
